wid,outcome,considered,evaluation,rt,prompt_id,raw_outcome
wd34206a,peaches,True,10,4834,FRUIT,Peach
wd34206a,blueberry,False,-1,5759,FRUIT,blueberries
wd34206a,apples,True,6,4174,FRUIT,Apple
wd34206a,watermelon,False,10,2911,FRUIT,watermelon
wd34206a,pineapple,False,-10,4892,FRUIT,pineapple
wd34206a,plums,False,-5,3506,FRUIT,plums
wd34206a,mango,False,10,2126,FRUIT,mango
wd34206a,blackberry,False,7,5155,FRUIT,blackberries
wd34206a,kangaroo,False,-5,7029,ZOO,kangaroo
wd34206a,koala,False,10,2582,ZOO,koala
wd34206a,lemur,False,8,5054,ZOO,lemur
wd34206a,rhinoceros,False,-8,4823,ZOO,rhinoceros
wd34206a,crocodile,False,-10,2503,ZOO,crocodile
wd34206a,lion,False,-10,5210,ZOO,lion
wd34206a,gorilla,True,-10,5570,ZOO,Gorilla
wd34206a,peacock,False,6,6796,ZOO,peacock
wd34206a,panda,False,10,2206,ZOO,panda
wd34206a,monkey,True,6,3816,ZOO,Monkey
wd34206a,elephant,False,8,4308,ZOO,elephant
wd34206a,zebra,False,2,3234,ZOO,zebra
wd34206a,tiger,True,-10,2211,ZOO,Tiger
wd34206a,jaguar,False,-10,2505,ZOO,jaguar
wd34206a,sloth,False,10,2267,ZOO,sloth
wd34206a,giraffe,False,9,4771,ZOO,giraffe
wd34206a,cobra,False,-10,2513,ZOO,cobra
wd34206a,florence,False,10,4058,VACATION,Florence
wd34206a,barcelona,False,10,2255,VACATION,Barcelona
wd34206a,dublin,False,9,3421,VACATION,Dublin
wd34206a,paris,True,5,4515,VACATION,Paris
wd34206a,rome,False,9,4041,VACATION,Rome
wd34206a,budapest,False,4,2422,VACATION,Budapest
wd34206a,vienna,True,8,3438,VACATION,Vienna
wd34206a,london,False,10,2374,VACATION,London
wd34206a,prague,False,5,5954,VACATION,Prague
wd34206a,stockholm,False,8,2844,VACATION,Stockholm
wd34206a,lisbon,False,3,2386,VACATION,Lisbon
wd34206a,berlin,False,10,2376,VACATION,Berlin
wd34206a,edinburgh,False,5,2074,VACATION,Edinburgh
wd34206a,athens,False,10,1904,VACATION,Athens
wd34206a,venice,True,10,1859,VACATION,Venice
wd34206a,istanbul,False,5,4890,VACATION,Istanbul
wd34206a,copenhagen,False,2,2666,VACATION,Copenhagen
wd34206a,amsterdam,False,10,2630,VACATION,Amsterdam
wd34206a,brussels,False,2,2535,VACATION,Brussels
w0ffd1ae,lemon,False,5,5921,FRUIT,lemon
w0ffd1ae,papayas,False,9,3187,FRUIT,papayas
w0ffd1ae,strawberry,True,10,2694,FRUIT,strawberry
w0ffd1ae,orange,True,10,2884,FRUIT,orange
w0ffd1ae,nectarines,False,10,2908,FRUIT,nectarines
w0ffd1ae,grapes,False,10,2375,FRUIT,grapes
w0ffd1ae,raspberry,True,10,2042,FRUIT,Raspberries
w0ffd1ae,plums,True,10,2450,FRUIT,plum
w0ffd1ae,blueberry,True,10,1895,FRUIT,Blueberries
w0ffd1ae,UNK,True,10,1773,FRUIT,kiwi
w0ffd1ae,UNK,True,10,2555,FRUIT,clementine
w0ffd1ae,cherry,False,8,4052,FRUIT,cherries
w0ffd1ae,peaches,True,10,2850,FRUIT,peach
w0ffd1ae,cantaloupe,False,0,3483,FRUIT,cantaloupe
w0ffd1ae,limes,False,3,2676,FRUIT,limes
w0ffd1ae,pineapple,False,10,2510,FRUIT,pineapple
w0ffd1ae,bananas,True,10,2250,FRUIT,banana
w0ffd1ae,watermelon,False,6,3134,FRUIT,watermelon
w0ffd1ae,apples,True,10,3383,FRUIT,apple
w0ffd1ae,london,True,10,3123,VACATION,London
w0ffd1ae,rome,False,10,1713,VACATION,Rome
w0ffd1ae,budapest,False,10,1985,VACATION,Budapest
w0ffd1ae,paris,True,10,1980,VACATION,Paris
w0ffd1ae,berlin,True,10,1785,VACATION,Berlin
w0ffd1ae,athens,False,10,1697,VACATION,Athens
w0ffd1ae,copenhagen,False,10,1789,VACATION,Copenhagen
w0ffd1ae,venice,False,10,2367,VACATION,Venice
w0ffd1ae,florence,False,10,1974,VACATION,Florence
w0ffd1ae,vienna,False,10,2375,VACATION,Vienna
w0ffd1ae,edinburgh,False,10,2182,VACATION,Edinburgh
w0ffd1ae,brussels,False,10,2258,VACATION,Brussels
w0ffd1ae,stockholm,False,10,2444,VACATION,Stockholm
w0ffd1ae,barcelona,False,10,2115,VACATION,Barcelona
w0ffd1ae,UNK,True,10,2233,VACATION,French Riviera
w0ffd1ae,istanbul,False,7,4885,VACATION,Istanbul
w0ffd1ae,prague,False,10,2850,VACATION,Prague
w0ffd1ae,amsterdam,False,10,2255,VACATION,Amsterdam
w0ffd1ae,monkey,False,4,3878,ZOO,monkey
w0ffd1ae,UNK,True,5,2843,ZOO,Snake
w0ffd1ae,gorilla,False,10,2480,ZOO,gorilla
w0ffd1ae,UNK,True,10,2244,ZOO,Dolphin
w0ffd1ae,jaguar,False,4,2575,ZOO,jaguar
w0ffd1ae,koala,False,10,2520,ZOO,koala
w0ffd1ae,lemur,False,10,2182,ZOO,lemur
w0ffd1ae,sloth,False,10,2205,ZOO,sloth
w0ffd1ae,kangaroo,False,10,2276,ZOO,kangaroo
w0ffd1ae,cobra,False,-5,3668,ZOO,cobra
w0ffd1ae,deer,True,10,2665,ZOO,Ape
w0ffd1ae,zebra,False,10,2243,ZOO,zebra
w0ffd1ae,UNK,True,-8,3342,ZOO,Chimp
w0ffd1ae,tiger,True,1,3238,ZOO,Tiger
w0ffd1ae,giraffe,False,9,2428,ZOO,giraffe
w0ffd1ae,elephant,True,10,2065,ZOO,Elephant
w0ffd1ae,peacock,False,3,2722,ZOO,peacock
w0ffd1ae,lion,True,-5,2312,ZOO,Lion
w0ffd1ae,crocodile,False,-10,3145,ZOO,crocodile
w0ffd1ae,rhinoceros,False,-4,3366,ZOO,rhinoceros
w0ffd1ae,panda,True,10,2711,ZOO,Panda
w8b6ce21,blueberry,False,-2,4274,FRUIT,blueberries
w8b6ce21,plums,False,-3,2275,FRUIT,plums
w8b6ce21,cantaloupe,False,-8,2062,FRUIT,cantaloupe
w8b6ce21,bananas,False,4,2590,FRUIT,bananas
w8b6ce21,orange,False,3,2224,FRUIT,orange
w8b6ce21,limes,False,-6,1779,FRUIT,limes
w8b6ce21,lemon,False,-6,1795,FRUIT,lemon
w8b6ce21,watermelon,False,10,1898,FRUIT,watermelon
w8b6ce21,nectarines,False,4,1843,FRUIT,nectarines
w8b6ce21,strawberry,False,2,1816,FRUIT,strawberries
w8b6ce21,grapes,False,6,1671,FRUIT,grapes
w8b6ce21,mango,False,2,1878,FRUIT,mango
w8b6ce21,apples,False,6,2204,FRUIT,apples
w8b6ce21,pineapple,False,3,1800,FRUIT,pineapple
w8b6ce21,pear,False,3,1832,FRUIT,pear
w8b6ce21,raspberry,False,-3,3198,FRUIT,raspberries
w8b6ce21,blackberry,False,-2,1409,FRUIT,blackberries
w8b6ce21,peaches,False,-1,1557,FRUIT,peaches
w8b6ce21,cherry,False,8,1960,FRUIT,cherries
w8b6ce21,papayas,False,-3,6386,FRUIT,papayas
w8b6ce21,panda,False,-1,5510,ZOO,panda
w8b6ce21,gorilla,False,-6,1920,ZOO,gorilla
w8b6ce21,rhinoceros,False,-10,3167,ZOO,rhinoceros
w8b6ce21,lion,False,-10,1501,ZOO,lion
w8b6ce21,peacock,False,3,2549,ZOO,peacock
w8b6ce21,sloth,False,3,1540,ZOO,sloth
w8b6ce21,elephant,False,-2,2766,ZOO,elephant
w8b6ce21,koala,False,5,4864,ZOO,koala
w8b6ce21,cobra,False,-3,1768,ZOO,cobra
w8b6ce21,giraffe,False,-1,3350,ZOO,giraffe
w8b6ce21,lemur,False,5,1833,ZOO,lemur
w8b6ce21,jaguar,False,-2,1798,ZOO,jaguar
w8b6ce21,tiger,False,-10,51381,ZOO,tiger
w8b6ce21,deer,False,5,11644,ZOO,deer
w8b6ce21,kangaroo,False,-5,7755,ZOO,kangaroo
w8b6ce21,monkey,False,3,44635,ZOO,monkey
w8b6ce21,zebra,False,2,1988,ZOO,zebra
w8b6ce21,crocodile,False,-6,1606,ZOO,crocodile
w8b6ce21,berlin,False,3,2793,VACATION,Berlin
w8b6ce21,copenhagen,False,5,2216,VACATION,Copenhagen
w8b6ce21,athens,False,4,1893,VACATION,Athens
w8b6ce21,barcelona,False,4,1861,VACATION,Barcelona
w8b6ce21,brussels,False,4,1006,VACATION,Brussels
w8b6ce21,dublin,False,5,1947,VACATION,Dublin
w8b6ce21,vienna,False,5,975,VACATION,Vienna
w8b6ce21,florence,False,5,1330,VACATION,Florence
w8b6ce21,venice,False,1,8371,VACATION,Venice
w8b6ce21,london,False,-1,1767,VACATION,London
w8b6ce21,madrid,False,5,2801,VACATION,Madrid
w8b6ce21,lisbon,False,4,1660,VACATION,Lisbon
w8b6ce21,edinburgh,False,4,2339,VACATION,Edinburgh
w8b6ce21,budapest,False,1,2260,VACATION,Budapest
w8b6ce21,paris,False,2,2255,VACATION,Paris
w8b6ce21,prague,False,0,671,VACATION,Prague
w8b6ce21,amsterdam,False,4,1509,VACATION,Amsterdam
w8b6ce21,stockholm,False,1,3460,VACATION,Stockholm
w8b6ce21,rome,False,3,16599,VACATION,Rome
w8b6ce21,istanbul,False,-3,2024,VACATION,Istanbul
w9151baf,limes,False,-8,6252,FRUIT,limes
w9151baf,lemon,False,-8,3691,FRUIT,lemon
w9151baf,pear,False,10,3344,FRUIT,pear
w9151baf,strawberry,False,4,2328,FRUIT,strawberries
w9151baf,blueberry,False,0,2655,FRUIT,blueberries
w9151baf,grapes,False,0,2330,FRUIT,grapes
w9151baf,cherry,False,10,2602,FRUIT,cherries
w9151baf,nectarines,False,5,2319,FRUIT,nectarines
w9151baf,plums,False,3,2314,FRUIT,plums
w9151baf,bananas,False,-2,4395,FRUIT,bananas
w9151baf,papayas,False,-5,4393,FRUIT,papayas
w9151baf,apples,False,10,3492,FRUIT,apples
w9151baf,raspberry,False,1,3372,FRUIT,raspberries
w9151baf,peaches,False,10,2641,FRUIT,peaches
w9151baf,pineapple,False,10,2147,FRUIT,pineapple
w9151baf,orange,False,10,2069,FRUIT,orange
w9151baf,cantaloupe,False,10,2582,FRUIT,cantaloupe
w9151baf,mango,False,10,1803,FRUIT,mango
w9151baf,blackberry,False,0,4762,FRUIT,blackberries
w9151baf,watermelon,False,10,2085,FRUIT,watermelon
w9151baf,monkey,False,5,6648,ZOO,monkey
w9151baf,cobra,False,-3,5778,ZOO,cobra
w9151baf,crocodile,False,-10,2742,ZOO,crocodile
w9151baf,rhinoceros,False,-9,3219,ZOO,rhinoceros
w9151baf,UNK,True,-3,3313,ZOO,snake
w9151baf,tiger,True,5,2355,ZOO,pig
w9151baf,peacock,False,5,2863,ZOO,peacock
w9151baf,gorilla,False,-7,2825,ZOO,gorilla
w9151baf,panda,False,10,2393,ZOO,panda
w9151baf,koala,False,4,2815,ZOO,koala
w9151baf,lemur,False,6,3095,ZOO,lemur
w9151baf,giraffe,False,0,3739,ZOO,giraffe
w9151baf,tiger,True,-7,5378,ZOO,tiger
w9151baf,sloth,False,-3,2624,ZOO,sloth
w9151baf,elephant,False,-4,4839,ZOO,elephant
w9151baf,kangaroo,False,0,3447,ZOO,kangaroo
w9151baf,zebra,False,-5,3009,ZOO,zebra
w9151baf,lion,True,-6,2604,ZOO,lion
w9151baf,deer,True,3,4020,ZOO,sheep
w9151baf,jaguar,False,-6,2798,ZOO,jaguar
w9151baf,barcelona,False,7,5435,VACATION,Barcelona
w9151baf,amsterdam,True,10,2010,VACATION,Amsterdam
w9151baf,copenhagen,False,10,1962,VACATION,Copenhagen
w9151baf,stockholm,False,10,1728,VACATION,Stockholm
w9151baf,istanbul,False,-5,4090,VACATION,Istanbul
w9151baf,rome,True,10,2331,VACATION,Rome
w9151baf,brussels,False,10,1948,VACATION,Brussels
w9151baf,venice,False,10,1837,VACATION,Venice
w9151baf,prague,False,4,2437,VACATION,Prague
w9151baf,edinburgh,False,3,2412,VACATION,Edinburgh
w9151baf,dublin,False,10,1954,VACATION,Dublin
w9151baf,budapest,False,-5,2705,VACATION,Budapest
w9151baf,florence,False,10,3931,VACATION,Florence
w9151baf,athens,False,-7,4100,VACATION,Athens
w9151baf,paris,True,-5,2788,VACATION,Paris
w9151baf,london,True,6,2153,VACATION,London
w9151baf,vienna,False,5,2045,VACATION,Vienna
w9151baf,UNK,True,10,2070,VACATION,Helsinki
w9151baf,berlin,False,10,2100,VACATION,Berlin
wd1f9a61,cantaloupe,False,4,10667,FRUIT,cantaloupe
wd1f9a61,pineapple,False,5,2062,FRUIT,pineapple
wd1f9a61,lemon,False,4,3778,FRUIT,lemon
wd1f9a61,plums,False,-3,16870,FRUIT,plums
wd1f9a61,peaches,False,5,2151,FRUIT,peaches
wd1f9a61,bananas,True,7,2204,FRUIT,Banana
wd1f9a61,mango,False,6,1939,FRUIT,mango
wd1f9a61,watermelon,False,7,2995,FRUIT,watermelon
wd1f9a61,papayas,False,-2,12392,FRUIT,papayas
wd1f9a61,pear,True,8,2271,FRUIT,Pear
wd1f9a61,raspberry,False,2,3006,FRUIT,raspberries
wd1f9a61,orange,False,7,2766,FRUIT,orange
wd1f9a61,nectarines,False,-2,3716,FRUIT,nectarines
wd1f9a61,cherry,False,5,2348,FRUIT,cherries
wd1f9a61,limes,False,7,2542,FRUIT,limes
wd1f9a61,blueberry,False,2,4012,FRUIT,blueberries
wd1f9a61,strawberry,False,6,3530,FRUIT,strawberries
wd1f9a61,apples,True,6,2217,FRUIT,Apple
wd1f9a61,blackberry,False,-1,3176,FRUIT,blackberries
wd1f9a61,grapes,False,5,3266,FRUIT,grapes
wd1f9a61,koala,False,3,8699,ZOO,koala
wd1f9a61,cobra,False,-6,7369,ZOO,cobra
wd1f9a61,rhinoceros,False,-7,4667,ZOO,rhinoceros
wd1f9a61,lion,True,-8,2792,ZOO,Lion
wd1f9a61,monkey,False,-3,6023,ZOO,monkey
wd1f9a61,elephant,False,-2,5539,ZOO,elephant
wd1f9a61,sloth,False,8,6056,ZOO,sloth
wd1f9a61,peacock,False,-7,4584,ZOO,peacock
wd1f9a61,crocodile,False,-8,2501,ZOO,crocodile
wd1f9a61,zebra,False,0,7501,ZOO,zebra
wd1f9a61,panda,False,2,7793,ZOO,panda
wd1f9a61,jaguar,False,-8,2629,ZOO,jaguar
wd1f9a61,deer,False,0,2234,ZOO,deer
wd1f9a61,tiger,False,-6,3827,ZOO,tiger
wd1f9a61,giraffe,False,2,6653,ZOO,giraffe
wd1f9a61,lemur,False,4,2524,ZOO,lemur
wd1f9a61,gorilla,False,-2,3157,ZOO,gorilla
wd1f9a61,kangaroo,False,-2,5528,ZOO,kangaroo
wd1f9a61,budapest,False,8,7068,VACATION,Budapest
wd1f9a61,london,False,8,1744,VACATION,London
wd1f9a61,lisbon,False,8,1516,VACATION,Lisbon
wd1f9a61,florence,False,8,1735,VACATION,Florence
wd1f9a61,edinburgh,False,8,2593,VACATION,Edinburgh
wd1f9a61,copenhagen,False,8,1651,VACATION,Copenhagen
wd1f9a61,istanbul,False,8,1544,VACATION,Istanbul
wd1f9a61,stockholm,False,8,1490,VACATION,Stockholm
wd1f9a61,dublin,False,8,1702,VACATION,Dublin
wd1f9a61,barcelona,False,8,1523,VACATION,Barcelona
wd1f9a61,rome,False,8,1675,VACATION,Rome
wd1f9a61,madrid,False,8,1581,VACATION,Madrid
wd1f9a61,athens,False,8,1479,VACATION,Athens
wd1f9a61,berlin,False,8,1476,VACATION,Berlin
wd1f9a61,prague,False,8,1462,VACATION,Prague
wd1f9a61,vienna,False,8,1313,VACATION,Vienna
wd1f9a61,brussels,False,8,1308,VACATION,Brussels
wd1f9a61,amsterdam,False,8,1318,VACATION,Amsterdam
wd1f9a61,venice,False,8,2379,VACATION,Venice
wd1f9a61,paris,False,8,1924,VACATION,Paris
w8e87310,papayas,False,6,6772,FRUIT,papayas
w8e87310,apples,False,8,5749,FRUIT,apples
w8e87310,raspberry,False,0,4061,FRUIT,raspberries
w8e87310,blackberry,False,-5,4763,FRUIT,blackberries
w8e87310,plums,False,10,4572,FRUIT,plums
w8e87310,orange,False,3,3787,FRUIT,orange
w8e87310,watermelon,False,10,3977,FRUIT,watermelon
w8e87310,bananas,False,6,4208,FRUIT,bananas
w8e87310,limes,False,-6,6845,FRUIT,limes
w8e87310,peaches,False,3,5662,FRUIT,peaches
w8e87310,mango,False,9,4758,FRUIT,mango
w8e87310,lemon,False,-4,3973,FRUIT,lemon
w8e87310,pineapple,False,6,3833,FRUIT,pineapple
w8e87310,blueberry,False,0,3816,FRUIT,blueberries
w8e87310,cherry,False,0,1672,FRUIT,cherries
w8e87310,pear,False,3,4789,FRUIT,pear
w8e87310,strawberry,False,6,3514,FRUIT,strawberries
w8e87310,nectarines,False,-2,8683,FRUIT,nectarines
w8e87310,grapes,False,8,4372,FRUIT,grapes
w8e87310,cantaloupe,False,10,5146,FRUIT,cantaloupe
w8e87310,athens,False,8,4254,VACATION,Athens
w8e87310,amsterdam,False,-3,5495,VACATION,Amsterdam
w8e87310,florence,False,8,4087,VACATION,Florence
w8e87310,paris,False,9,3696,VACATION,Paris
w8e87310,berlin,False,-7,4259,VACATION,Berlin
w8e87310,edinburgh,False,-7,5073,VACATION,Edinburgh
w8e87310,brussels,False,2,13367,VACATION,Brussels
w8e87310,prague,False,-3,7357,VACATION,Prague
w8e87310,rome,False,9,4230,VACATION,Rome
w8e87310,dublin,False,3,4328,VACATION,Dublin
w8e87310,vienna,False,7,3564,VACATION,Vienna
w8e87310,stockholm,False,0,3714,VACATION,Stockholm
w8e87310,venice,False,9,3650,VACATION,Venice
w8e87310,budapest,False,-9,3822,VACATION,Budapest
w8e87310,barcelona,False,7,4252,VACATION,Barcelona
w8e87310,istanbul,False,-9,4069,VACATION,Istanbul
w8e87310,copenhagen,False,2,4549,VACATION,Copenhagen
w8e87310,lisbon,False,-7,3504,VACATION,Lisbon
w8e87310,madrid,False,4,5436,VACATION,Madrid
w8e87310,london,False,6,4148,VACATION,London
w8e87310,deer,False,1,6576,ZOO,deer
w8e87310,jaguar,False,-10,6073,ZOO,jaguar
w8e87310,peacock,False,6,5128,ZOO,peacock
w8e87310,cobra,False,-10,4250,ZOO,cobra
w8e87310,koala,False,5,5393,ZOO,koala
w8e87310,lemur,False,-4,9805,ZOO,lemur
w8e87310,giraffe,False,4,4357,ZOO,giraffe
w8e87310,rhinoceros,False,-10,5721,ZOO,rhinoceros
w8e87310,lion,False,-10,4189,ZOO,lion
w8e87310,gorilla,False,-2,5137,ZOO,gorilla
w8e87310,panda,False,6,3537,ZOO,panda
w8e87310,crocodile,False,-10,4240,ZOO,crocodile
w8e87310,monkey,False,10,4571,ZOO,monkey
w8e87310,kangaroo,False,6,5366,ZOO,kangaroo
w8e87310,tiger,False,-10,5030,ZOO,tiger
w8e87310,elephant,False,8,4032,ZOO,elephant
w8e87310,zebra,False,7,4857,ZOO,zebra
w8e87310,sloth,False,-6,4867,ZOO,sloth
wf964bb8,cantaloupe,False,-1,19944,FRUIT,cantaloupe
wf964bb8,orange,True,10,2728,FRUIT,Orange
wf964bb8,strawberry,True,10,4176,FRUIT,Strawberry
wf964bb8,bananas,True,-5,2809,FRUIT,Banana
wf964bb8,peaches,False,-5,3353,FRUIT,peaches
wf964bb8,blueberry,False,10,3015,FRUIT,blueberries
wf964bb8,watermelon,True,10,2120,FRUIT,Watermelon
wf964bb8,apples,True,-7,2975,FRUIT,Apple
wf964bb8,cherry,False,-2,2793,FRUIT,cherries
wf964bb8,papayas,False,-10,2080,FRUIT,papayas
wf964bb8,pear,False,-10,2815,FRUIT,pear
wf964bb8,plums,False,10,6809,FRUIT,plums
wf964bb8,limes,False,-10,2896,FRUIT,limes
wf964bb8,nectarines,False,-7,2488,FRUIT,nectarines
wf964bb8,grapes,True,10,2159,FRUIT,Grape
wf964bb8,lemon,False,1,2857,FRUIT,lemon
wf964bb8,blackberry,False,10,2607,FRUIT,blackberries
wf964bb8,pineapple,True,-7,2489,FRUIT,Pineapple
wf964bb8,raspberry,False,10,2200,FRUIT,raspberries
wf964bb8,zebra,False,-10,10526,ZOO,zebra
wf964bb8,koala,False,10,2695,ZOO,koala
wf964bb8,lemur,False,10,2191,ZOO,lemur
wf964bb8,lion,False,-10,2288,ZOO,lion
wf964bb8,monkey,False,-3,2559,ZOO,monkey
wf964bb8,peacock,False,-4,2437,ZOO,peacock
wf964bb8,sloth,False,10,2222,ZOO,sloth
wf964bb8,crocodile,False,-10,1973,ZOO,crocodile
wf964bb8,elephant,False,-10,2169,ZOO,elephant
wf964bb8,jaguar,False,-10,2169,ZOO,jaguar
wf964bb8,cobra,False,-10,2271,ZOO,cobra
wf964bb8,kangaroo,False,-10,2161,ZOO,kangaroo
wf964bb8,panda,False,-2,2783,ZOO,panda
wf964bb8,giraffe,False,-10,2023,ZOO,giraffe
wf964bb8,rhinoceros,False,-10,2457,ZOO,rhinoceros
wf964bb8,deer,False,-4,2927,ZOO,deer
wf964bb8,gorilla,False,-10,2841,ZOO,gorilla
wf964bb8,tiger,False,-10,2336,ZOO,tiger
wf964bb8,brussels,False,3,4116,VACATION,Brussels
wf964bb8,florence,False,5,2553,VACATION,Florence
wf964bb8,stockholm,False,-4,3203,VACATION,Stockholm
wf964bb8,istanbul,False,-8,2388,VACATION,Istanbul
wf964bb8,budapest,False,-3,2138,VACATION,Budapest
wf964bb8,rome,False,10,2343,VACATION,Rome
wf964bb8,venice,False,6,2895,VACATION,Venice
wf964bb8,berlin,False,3,2433,VACATION,Berlin
wf964bb8,copenhagen,False,-1,2671,VACATION,Copenhagen
wf964bb8,athens,False,10,2384,VACATION,Athens
wf964bb8,prague,False,10,2353,VACATION,Prague
wf964bb8,paris,True,3,2730,VACATION,Paris
wf964bb8,dublin,False,1,2485,VACATION,Dublin
wf964bb8,london,True,10,2368,VACATION,London
wf964bb8,amsterdam,True,10,2344,VACATION,Amsterdam
wf964bb8,barcelona,True,6,2312,VACATION,Barcelona
wf964bb8,edinburgh,False,-1,1992,VACATION,Edinburgh
wf964bb8,vienna,True,6,3216,VACATION,Viena
wf2599e5,blackberry,False,7,33785,FRUIT,blackberries
wf2599e5,papayas,False,8,3716,FRUIT,papayas
wf2599e5,bananas,False,3,2055,FRUIT,bananas
wf2599e5,plums,False,10,2958,FRUIT,plums
wf2599e5,lemon,False,9,2549,FRUIT,lemon
wf2599e5,strawberry,False,7,2006,FRUIT,strawberries
wf2599e5,watermelon,False,-3,2865,FRUIT,watermelon
wf2599e5,peaches,False,-8,2261,FRUIT,peaches
wf2599e5,mango,False,-8,2599,FRUIT,mango
wf2599e5,cantaloupe,False,-8,9732,FRUIT,cantaloupe
wf2599e5,cherry,False,6,2356,FRUIT,cherries
wf2599e5,nectarines,False,-8,8713,FRUIT,nectarines
wf2599e5,pear,False,-7,2163,FRUIT,pear
wf2599e5,limes,False,7,2150,FRUIT,limes
wf2599e5,pineapple,False,4,2183,FRUIT,pineapple
wf2599e5,raspberry,False,1,1567,FRUIT,raspberries
wf2599e5,blueberry,False,1,1457,FRUIT,blueberries
wf2599e5,orange,False,4,1841,FRUIT,orange
wf2599e5,grapes,False,10,1940,FRUIT,grapes
wf2599e5,apples,False,3,1519,FRUIT,apples
wf2599e5,berlin,False,3,6784,VACATION,Berlin
wf2599e5,london,True,8,1960,VACATION,London.
wf2599e5,brussels,False,-4,3795,VACATION,Brussels
wf2599e5,edinburgh,False,-8,2135,VACATION,Edinburgh
wf2599e5,istanbul,False,-10,2034,VACATION,Istanbul
wf2599e5,vienna,False,8,2136,VACATION,Vienna
