wid,prompt,response
web6f087,Winning the lottery,6
web6f087,Eating a spoonful of rice,0
web6f087,Free dinner with a friend at your favorite restaurant,7
web6f087,Breaking both legs in a car accident,-9
web6f087,Finding a $5 bill on the street,2
web6f087,Getting a flat tire on the way home from work,-5
web6f087,Stubbing your toe,-1
w9af81d7,Breaking both legs in a car accident,-10
w9af81d7,Stubbing your toe,0
w9af81d7,Eating a spoonful of rice,5
w9af81d7,Free dinner with a friend at your favorite restaurant,10
w9af81d7,Winning the lottery,10
w9af81d7,Getting a flat tire on the way home from work,-5
w9af81d7,Finding a $5 bill on the street,5
w386fa2b,Winning the lottery,6
w386fa2b,Stubbing your toe,-5
w386fa2b,Eating a spoonful of rice,0
w386fa2b,Breaking both legs in a car accident,-10
w386fa2b,Free dinner with a friend at your favorite restaurant,8
w386fa2b,Getting a flat tire on the way home from work,-6
w386fa2b,Finding a $5 bill on the street,3
wb0fd71b,Getting a flat tire on the way home from work,-6
wb0fd71b,Winning the lottery,10
wb0fd71b,Breaking both legs in a car accident,-10
wb0fd71b,Eating a spoonful of rice,1
wb0fd71b,Finding a $5 bill on the street,2
wb0fd71b,Free dinner with a friend at your favorite restaurant,7
wb0fd71b,Stubbing your toe,-2
wc44d368,Finding a $5 bill on the street,5
wc44d368,Winning the lottery,-2
wc44d368,Eating a spoonful of rice,3
wc44d368,Breaking both legs in a car accident,-9
wc44d368,Free dinner with a friend at your favorite restaurant,-3
wc44d368,Stubbing your toe,-6
wc44d368,Getting a flat tire on the way home from work,0
w89fd051,Eating a spoonful of rice,5
w89fd051,Breaking both legs in a car accident,-10
w89fd051,Getting a flat tire on the way home from work,-10
w89fd051,Free dinner with a friend at your favorite restaurant,10
w89fd051,Winning the lottery,10
w89fd051,Finding a $5 bill on the street,6
w89fd051,Stubbing your toe,-3
w46e41e7,Breaking both legs in a car accident,-10
w46e41e7,Winning the lottery,10
w46e41e7,Finding a $5 bill on the street,2
w46e41e7,Getting a flat tire on the way home from work,-9
w46e41e7,Stubbing your toe,-3
w46e41e7,Eating a spoonful of rice,0
w46e41e7,Free dinner with a friend at your favorite restaurant,5
wd462b2b,Eating a spoonful of rice,-4
wd462b2b,Winning the lottery,9
wd462b2b,Getting a flat tire on the way home from work,-5
wd462b2b,Finding a $5 bill on the street,3
wd462b2b,Free dinner with a friend at your favorite restaurant,7
wd462b2b,Breaking both legs in a car accident,-8
wd462b2b,Stubbing your toe,-4
wf756e07,Free dinner with a friend at your favorite restaurant,6
wf756e07,Breaking both legs in a car accident,-10
wf756e07,Winning the lottery,9
wf756e07,Finding a $5 bill on the street,2
wf756e07,Eating a spoonful of rice,0
wf756e07,Getting a flat tire on the way home from work,-4
wf756e07,Stubbing your toe,-1
wd607ce3,Winning the lottery,10
wd607ce3,Breaking both legs in a car accident,-10
wd607ce3,Eating a spoonful of rice,5
wd607ce3,Getting a flat tire on the way home from work,-7
wd607ce3,Free dinner with a friend at your favorite restaurant,10
wd607ce3,Stubbing your toe,-8
wd607ce3,Finding a $5 bill on the street,2
w18740cf,Eating a spoonful of rice,0
w18740cf,Free dinner with a friend at your favorite restaurant,10
w18740cf,Finding a $5 bill on the street,10
w18740cf,Winning the lottery,10
w18740cf,Getting a flat tire on the way home from work,-10
w18740cf,Stubbing your toe,-10
w18740cf,Breaking both legs in a car accident,-10
we14a9b1,Stubbing your toe,-9
we14a9b1,Finding a $5 bill on the street,7
we14a9b1,Getting a flat tire on the way home from work,-5
we14a9b1,Breaking both legs in a car accident,-10
we14a9b1,Winning the lottery,10
we14a9b1,Free dinner with a friend at your favorite restaurant,10
we14a9b1,Eating a spoonful of rice,0
wb2738b9,Finding a $5 bill on the street,7
wb2738b9,Stubbing your toe,-4
wb2738b9,Free dinner with a friend at your favorite restaurant,8
wb2738b9,Winning the lottery,9
wb2738b9,Breaking both legs in a car accident,-10
wb2738b9,Getting a flat tire on the way home from work,-3
wb2738b9,Eating a spoonful of rice,2
w316eaf4,Stubbing your toe,-10
w316eaf4,Breaking both legs in a car accident,-10
w316eaf4,Free dinner with a friend at your favorite restaurant,10
w316eaf4,Eating a spoonful of rice,7
w316eaf4,Getting a flat tire on the way home from work,-8
w316eaf4,Finding a $5 bill on the street,9
w316eaf4,Winning the lottery,10
w57c39ac,Breaking both legs in a car accident,-10
w57c39ac,Getting a flat tire on the way home from work,-7
w57c39ac,Stubbing your toe,-4
w57c39ac,Free dinner with a friend at your favorite restaurant,10
w57c39ac,Winning the lottery,6
w57c39ac,Eating a spoonful of rice,0
w57c39ac,Finding a $5 bill on the street,4
wc49ddf3,Getting a flat tire on the way home from work,-5
wc49ddf3,Eating a spoonful of rice,10
wc49ddf3,Winning the lottery,10
wc49ddf3,Stubbing your toe,-9
wc49ddf3,Finding a $5 bill on the street,10
wc49ddf3,Breaking both legs in a car accident,-10
wc49ddf3,Free dinner with a friend at your favorite restaurant,10
w741433e,Breaking both legs in a car accident,-10
w741433e,Stubbing your toe,-1
w741433e,Free dinner with a friend at your favorite restaurant,4
w741433e,Finding a $5 bill on the street,3
w741433e,Getting a flat tire on the way home from work,-4
w741433e,Winning the lottery,10
w741433e,Eating a spoonful of rice,0
w56fdba3,Breaking both legs in a car accident,-7
w56fdba3,Eating a spoonful of rice,6
w56fdba3,Getting a flat tire on the way home from work,-4
w56fdba3,Stubbing your toe,-1
w56fdba3,Winning the lottery,9
w56fdba3,Free dinner with a friend at your favorite restaurant,6
w56fdba3,Finding a $5 bill on the street,1
w8e21a74,Free dinner with a friend at your favorite restaurant,6
w8e21a74,Stubbing your toe,-3
w8e21a74,Getting a flat tire on the way home from work,-7
w8e21a74,Winning the lottery,10
w8e21a74,Finding a $5 bill on the street,3
w8e21a74,Eating a spoonful of rice,0
w8e21a74,Breaking both legs in a car accident,-10
wc4f1c30,Eating a spoonful of rice,6
wc4f1c30,Getting a flat tire on the way home from work,-10
wc4f1c30,Free dinner with a friend at your favorite restaurant,10
wc4f1c30,Winning the lottery,10
wc4f1c30,Stubbing your toe,-10
wc4f1c30,Breaking both legs in a car accident,-10
wc4f1c30,Finding a $5 bill on the street,6
w168d4fc,Winning the lottery,4
w168d4fc,Finding a $5 bill on the street,1
w168d4fc,Breaking both legs in a car accident,-10
w168d4fc,Eating a spoonful of rice,0
w168d4fc,Stubbing your toe,-1
w168d4fc,Free dinner with a friend at your favorite restaurant,7
w168d4fc,Getting a flat tire on the way home from work,-5
w3a87b80,Stubbing your toe,-10
w3a87b80,Free dinner with a friend at your favorite restaurant,10
w3a87b80,Eating a spoonful of rice,-7
w3a87b80,Winning the lottery,10
w3a87b80,Breaking both legs in a car accident,-10
w3a87b80,Finding a $5 bill on the street,10
w3a87b80,Getting a flat tire on the way home from work,-10
wb759dee,Stubbing your toe,-7
wb759dee,Free dinner with a friend at your favorite restaurant,10
wb759dee,Finding a $5 bill on the street,5
wb759dee,Breaking both legs in a car accident,-10
wb759dee,Eating a spoonful of rice,2
wb759dee,Winning the lottery,10
wb759dee,Getting a flat tire on the way home from work,-8
w4ae5240,Free dinner with a friend at your favorite restaurant,4
w4ae5240,Breaking both legs in a car accident,-10
w4ae5240,Stubbing your toe,-3
w4ae5240,Getting a flat tire on the way home from work,-6
w4ae5240,Finding a $5 bill on the street,3
w4ae5240,Winning the lottery,10
w4ae5240,Eating a spoonful of rice,1
w74a45a0,Eating a spoonful of rice,5
w74a45a0,Finding a $5 bill on the street,6
w74a45a0,Breaking both legs in a car accident,-10
w74a45a0,Getting a flat tire on the way home from work,-9
w74a45a0,Stubbing your toe,-6
w74a45a0,Free dinner with a friend at your favorite restaurant,8
w74a45a0,Winning the lottery,10
wbdcfeec,Free dinner with a friend at your favorite restaurant,2
wbdcfeec,Winning the lottery,9
wbdcfeec,Stubbing your toe,-2
wbdcfeec,Breaking both legs in a car accident,-10
wbdcfeec,Eating a spoonful of rice,-3
wbdcfeec,Getting a flat tire on the way home from work,-5
wbdcfeec,Finding a $5 bill on the street,5
w53d0308,Getting a flat tire on the way home from work,-10
w53d0308,Winning the lottery,9
w53d0308,Stubbing your toe,-5
w53d0308,Eating a spoonful of rice,4
w53d0308,Breaking both legs in a car accident,-10
w53d0308,Finding a $5 bill on the street,10
w53d0308,Free dinner with a friend at your favorite restaurant,10
w48d3b84,Free dinner with a friend at your favorite restaurant,10
w48d3b84,Breaking both legs in a car accident,-10
w48d3b84,Finding a $5 bill on the street,0
w48d3b84,Stubbing your toe,-10
w48d3b84,Getting a flat tire on the way home from work,-10
w48d3b84,Winning the lottery,10
w48d3b84,Eating a spoonful of rice,9
w0caf111,Finding a $5 bill on the street,3
w0caf111,Getting a flat tire on the way home from work,-10
w0caf111,Winning the lottery,10
w0caf111,Breaking both legs in a car accident,-10
w0caf111,Stubbing your toe,-4
w0caf111,Free dinner with a friend at your favorite restaurant,10
w0caf111,Eating a spoonful of rice,0
w109af5a,Getting a flat tire on the way home from work,-9
w109af5a,Winning the lottery,10
w109af5a,Free dinner with a friend at your favorite restaurant,10
w109af5a,Finding a $5 bill on the street,4
w109af5a,Breaking both legs in a car accident,-10
w109af5a,Eating a spoonful of rice,3
w109af5a,Stubbing your toe,-3
w259d3ee,Finding a $5 bill on the street,8
w259d3ee,Winning the lottery,10
w259d3ee,Stubbing your toe,-5
w259d3ee,Free dinner with a friend at your favorite restaurant,10
w259d3ee,Getting a flat tire on the way home from work,-3
w259d3ee,Eating a spoonful of rice,1
w259d3ee,Breaking both legs in a car accident,-10
wbd249b0,Breaking both legs in a car accident,-8
wbd249b0,Stubbing your toe,-1
wbd249b0,Winning the lottery,10
wbd249b0,Finding a $5 bill on the street,3
wbd249b0,Eating a spoonful of rice,3
wbd249b0,Getting a flat tire on the way home from work,-3
wbd249b0,Free dinner with a friend at your favorite restaurant,6
w1ed134a,Breaking both legs in a car accident,-10
w1ed134a,Finding a $5 bill on the street,4
w1ed134a,Free dinner with a friend at your favorite restaurant,5
w1ed134a,Eating a spoonful of rice,1
w1ed134a,Getting a flat tire on the way home from work,-5
w1ed134a,Winning the lottery,10
w1ed134a,Stubbing your toe,-3
w584ca53,Eating a spoonful of rice,0
w584ca53,Free dinner with a friend at your favorite restaurant,7
w584ca53,Finding a $5 bill on the street,3
w584ca53,Stubbing your toe,-2
w584ca53,Getting a flat tire on the way home from work,-5
w584ca53,Winning the lottery,10
w584ca53,Breaking both legs in a car accident,-10
w1981ad1,Breaking both legs in a car accident,-10
w1981ad1,Free dinner with a friend at your favorite restaurant,4
w1981ad1,Eating a spoonful of rice,1
w1981ad1,Getting a flat tire on the way home from work,-8
w1981ad1,Winning the lottery,10
w1981ad1,Stubbing your toe,-5
w1981ad1,Finding a $5 bill on the street,8
w34c76a5,Finding a $5 bill on the street,5
w34c76a5,Eating a spoonful of rice,-1
w34c76a5,Free dinner with a friend at your favorite restaurant,7
w34c76a5,Winning the lottery,8
w34c76a5,Getting a flat tire on the way home from work,-7
w34c76a5,Breaking both legs in a car accident,-10
w34c76a5,Stubbing your toe,-8
w178a25d,Getting a flat tire on the way home from work,-8
w178a25d,Breaking both legs in a car accident,-10
w178a25d,Eating a spoonful of rice,0
w178a25d,Stubbing your toe,-2
w178a25d,Winning the lottery,10
w178a25d,Free dinner with a friend at your favorite restaurant,7
w178a25d,Finding a $5 bill on the street,5
w7ef6db0,Eating a spoonful of rice,10
w7ef6db0,Finding a $5 bill on the street,10
w7ef6db0,Stubbing your toe,-2
w7ef6db0,Winning the lottery,10
w7ef6db0,Free dinner with a friend at your favorite restaurant,10
w7ef6db0,Getting a flat tire on the way home from work,-7
w7ef6db0,Breaking both legs in a car accident,-10
w78e59ca,Free dinner with a friend at your favorite restaurant,5
w78e59ca,Winning the lottery,10
w78e59ca,Getting a flat tire on the way home from work,-7
w78e59ca,Stubbing your toe,-3
w78e59ca,Breaking both legs in a car accident,-10
w78e59ca,Finding a $5 bill on the street,2
w78e59ca,Eating a spoonful of rice,0
wd1d26d5,Eating a spoonful of rice,0
wd1d26d5,Getting a flat tire on the way home from work,-5
wd1d26d5,Free dinner with a friend at your favorite restaurant,8
wd1d26d5,Winning the lottery,8
wd1d26d5,Stubbing your toe,-5
wd1d26d5,Finding a $5 bill on the street,6
wd1d26d5,Breaking both legs in a car accident,-9
wcc26397,Eating a spoonful of rice,2
wcc26397,Stubbing your toe,-10
wcc26397,Finding a $5 bill on the street,4
wcc26397,Free dinner with a friend at your favorite restaurant,9
wcc26397,Getting a flat tire on the way home from work,-8
wcc26397,Winning the lottery,10
wcc26397,Breaking both legs in a car accident,-10
wb49e4e2,Eating a spoonful of rice,7
wb49e4e2,Getting a flat tire on the way home from work,-10
wb49e4e2,Free dinner with a friend at your favorite restaurant,10
wb49e4e2,Finding a $5 bill on the street,10
wb49e4e2,Stubbing your toe,-8
wb49e4e2,Breaking both legs in a car accident,-10
wb49e4e2,Winning the lottery,10
w90b82c9,Breaking both legs in a car accident,-10
w90b82c9,Winning the lottery,10
w90b82c9,Getting a flat tire on the way home from work,-8
w90b82c9,Eating a spoonful of rice,0
w90b82c9,Free dinner with a friend at your favorite restaurant,8
w90b82c9,Finding a $5 bill on the street,9
w90b82c9,Stubbing your toe,-10
w192373b,Stubbing your toe,-8
w192373b,Breaking both legs in a car accident,-10
w192373b,Free dinner with a friend at your favorite restaurant,9
w192373b,Eating a spoonful of rice,-3
w192373b,Winning the lottery,10
w192373b,Getting a flat tire on the way home from work,-6
w192373b,Finding a $5 bill on the street,8
wa34dc10,Winning the lottery,10
wa34dc10,Getting a flat tire on the way home from work,-2
wa34dc10,Free dinner with a friend at your favorite restaurant,10
wa34dc10,Finding a $5 bill on the street,3
wa34dc10,Breaking both legs in a car accident,-10
wa34dc10,Stubbing your toe,0
wa34dc10,Eating a spoonful of rice,1
w87b0c79,Getting a flat tire on the way home from work,-10
w87b0c79,Free dinner with a friend at your favorite restaurant,10
w87b0c79,Eating a spoonful of rice,0
w87b0c79,Winning the lottery,10
