wid,prompt,response
w4fdf442,Eating a spoonfull of rice,0
w4fdf442,Free dinner with a friend at your favorite restaurant,6
w4fdf442,Getting a flat tire on the way home from work,-6
w4fdf442,Breaking both legs in a car accident,-10
w4fdf442,Stubbing your toe,-2
w4fdf442,Winning the lottery,9
w7b66028,Free dinner with a friend at your favorite restaurant,7
w7b66028,Getting a flat tire on the way home from work,-8
w7b66028,Winning the lottery,10
w7b66028,Eating a spoonfull of rice,3
w7b66028,Breaking both legs in a car accident,-10
w7b66028,Stubbing your toe,-1
w7b66028,Finding a $20 bill on the street,3
w2c94a85,Finding a $20 bill on the street,8
w2c94a85,Winning the lottery,10
w2c94a85,Stubbing your toe,-8
w2c94a85,Breaking both legs in a car accident,-10
w2c94a85,Getting a flat tire on the way home from work,-9
w2c94a85,Free dinner with a friend at your favorite restaurant,8
w2c94a85,Eating a spoonfull of rice,3
w703ac34,Getting a flat tire on the way home from work,-8
w703ac34,Free dinner with a friend at your favorite restaurant,9
w703ac34,Winning the lottery,10
w703ac34,Eating a spoonfull of rice,2
w703ac34,Breaking both legs in a car accident,-10
w703ac34,Finding a $20 bill on the street,9
w703ac34,Stubbing your toe,-7
w16d2d31,Getting a flat tire on the way home from work,-5
w16d2d31,Finding a $20 bill on the street,3
w16d2d31,Free dinner with a friend at your favorite restaurant,6
w16d2d31,Winning the lottery,9
w16d2d31,Breaking both legs in a car accident,-10
w16d2d31,Stubbing your toe,-2
w16d2d31,Eating a spoonfull of rice,1
w73a759b,Stubbing your toe,-2
w73a759b,Winning the lottery,10
w73a759b,Free dinner with a friend at your favorite restaurant,6
w73a759b,Breaking both legs in a car accident,-10
w73a759b,Getting a flat tire on the way home from work,-5
w73a759b,Eating a spoonfull of rice,1
w73a759b,Finding a $20 bill on the street,3
w63f8333,Eating a spoonfull of rice,-4
w63f8333,Finding a $20 bill on the street,6
w63f8333,Free dinner with a friend at your favorite restaurant,6
w63f8333,Stubbing your toe,-8
w63f8333,Breaking both legs in a car accident,-10
w63f8333,Winning the lottery,10
w63f8333,Getting a flat tire on the way home from work,-10
w1e58b6f,Getting a flat tire on the way home from work,-10
w1e58b6f,Finding a $20 bill on the street,10
w1e58b6f,Eating a spoonfull of rice,10
w1e58b6f,Winning the lottery,10
w1e58b6f,Free dinner with a friend at your favorite restaurant,10
w1e58b6f,Stubbing your toe,-10
w1e58b6f,Breaking both legs in a car accident,-10
w839b90a,Eating a spoonfull of rice,0
w839b90a,Winning the lottery,10
w839b90a,Finding a $20 bill on the street,7
w839b90a,Breaking both legs in a car accident,-10
w839b90a,Stubbing your toe,-5
w839b90a,Getting a flat tire on the way home from work,-6
w839b90a,Free dinner with a friend at your favorite restaurant,7
w8e96e86,Breaking both legs in a car accident,-6
w8e96e86,Finding a $20 bill on the street,7
w8e96e86,Getting a flat tire on the way home from work,-4
w8e96e86,Stubbing your toe,-3
w8e96e86,Winning the lottery,8
w8e96e86,Eating a spoonfull of rice,3
w8e96e86,Free dinner with a friend at your favorite restaurant,6
w8a6ffe8,Breaking both legs in a car accident,-10
w8a6ffe8,Free dinner with a friend at your favorite restaurant,10
w8a6ffe8,Winning the lottery,10
w8a6ffe8,Finding a $20 bill on the street,10
w8a6ffe8,Eating a spoonfull of rice,10
w8a6ffe8,Getting a flat tire on the way home from work,-10
w8a6ffe8,Stubbing your toe,-4
w3af064e,Stubbing your toe,-4
w3af064e,Getting a flat tire on the way home from work,-7
w3af064e,Breaking both legs in a car accident,-10
w3af064e,Eating a spoonfull of rice,6
w3af064e,Finding a $20 bill on the street,10
w3af064e,Free dinner with a friend at your favorite restaurant,9
w3af064e,Winning the lottery,10
wa5a9e95,Eating a spoonfull of rice,5
wa5a9e95,Getting a flat tire on the way home from work,-7
wa5a9e95,Finding a $20 bill on the street,10
wa5a9e95,Free dinner with a friend at your favorite restaurant,10
wa5a9e95,Breaking both legs in a car accident,-10
wa5a9e95,Stubbing your toe,-4
wa5a9e95,Winning the lottery,10
wc5f11b4,Stubbing your toe,-3
wc5f11b4,Getting a flat tire on the way home from work,-6
wc5f11b4,Finding a $20 bill on the street,5
wc5f11b4,Breaking both legs in a car accident,-9
wc5f11b4,Free dinner with a friend at your favorite restaurant,10
wc5f11b4,Winning the lottery,10
wc5f11b4,Eating a spoonfull of rice,2
w00ba085,Free dinner with a friend at your favorite restaurant,10
w00ba085,Stubbing your toe,-5
w00ba085,Eating a spoonfull of rice,0
w00ba085,Breaking both legs in a car accident,0
w00ba085,Winning the lottery,10
w00ba085,Finding a $20 bill on the street,10
w00ba085,Getting a flat tire on the way home from work,-10
w245ea5b,Eating a spoonfull of rice,0
w245ea5b,Getting a flat tire on the way home from work,-5
w245ea5b,Winning the lottery,10
w245ea5b,Finding a $20 bill on the street,3
w245ea5b,Breaking both legs in a car accident,-10
w245ea5b,Free dinner with a friend at your favorite restaurant,5
w245ea5b,Stubbing your toe,-1
wf28644e,Free dinner with a friend at your favorite restaurant,7
wf28644e,Winning the lottery,10
wf28644e,Stubbing your toe,-3
wf28644e,Finding a $20 bill on the street,6
wf28644e,Getting a flat tire on the way home from work,-7
wf28644e,Breaking both legs in a car accident,-10
wf28644e,Eating a spoonfull of rice,1
w0814290,Breaking both legs in a car accident,-10
w0814290,Finding a $20 bill on the street,8
w0814290,Eating a spoonfull of rice,-4
w0814290,Getting a flat tire on the way home from work,-10
w0814290,Stubbing your toe,-10
w0814290,Free dinner with a friend at your favorite restaurant,7
w0814290,Winning the lottery,10
wbb95693,Winning the lottery,10
wbb95693,Stubbing your toe,-3
wbb95693,Breaking both legs in a car accident,-9
wbb95693,Getting a flat tire on the way home from work,-6
wbb95693,Free dinner with a friend at your favorite restaurant,4
wbb95693,Eating a spoonfull of rice,0
wbb95693,Finding a $20 bill on the street,1
w7e7e249,Stubbing your toe,-2
w7e7e249,Getting a flat tire on the way home from work,-6
w7e7e249,Finding a $20 bill on the street,6
w7e7e249,Winning the lottery,2
w7e7e249,Free dinner with a friend at your favorite restaurant,10
w7e7e249,Breaking both legs in a car accident,-9
w7e7e249,Eating a spoonfull of rice,0
w623c1c7,Breaking both legs in a car accident,-10
w623c1c7,Getting a flat tire on the way home from work,-5
w623c1c7,Free dinner with a friend at your favorite restaurant,1
w623c1c7,Finding a $20 bill on the street,1
w623c1c7,Stubbing your toe,-1
w623c1c7,Winning the lottery,6
w623c1c7,Eating a spoonfull of rice,0
wc59a23b,Free dinner with a friend at your favorite restaurant,4
wc59a23b,Winning the lottery,10
wc59a23b,Breaking both legs in a car accident,-10
wc59a23b,Eating a spoonfull of rice,2
wc59a23b,Finding a $20 bill on the street,4
wc59a23b,Getting a flat tire on the way home from work,-10
wc59a23b,Stubbing your toe,-10
w664b9b4,Eating a spoonfull of rice,2
w664b9b4,Getting a flat tire on the way home from work,-8
w664b9b4,Stubbing your toe,-4
w664b9b4,Breaking both legs in a car accident,-10
w664b9b4,Finding a $20 bill on the street,3
w664b9b4,Winning the lottery,7
w664b9b4,Free dinner with a friend at your favorite restaurant,5
w7c69ade,Eating a spoonfull of rice,-2
w7c69ade,Finding a $20 bill on the street,5
w7c69ade,Breaking both legs in a car accident,-7
w7c69ade,Stubbing your toe,-1
w7c69ade,Free dinner with a friend at your favorite restaurant,5
w7c69ade,Winning the lottery,1
w7c69ade,Getting a flat tire on the way home from work,-3
wb7732e4,Eating a spoonfull of rice,0
wb7732e4,Stubbing your toe,-10
wb7732e4,Finding a $20 bill on the street,10
wb7732e4,Free dinner with a friend at your favorite restaurant,10
wb7732e4,Breaking both legs in a car accident,-10
wb7732e4,Getting a flat tire on the way home from work,-10
wb7732e4,Winning the lottery,10
wa54e87c,Stubbing your toe,-3
wa54e87c,Eating a spoonfull of rice,2
wa54e87c,Free dinner with a friend at your favorite restaurant,0
wa54e87c,Breaking both legs in a car accident,-10
wa54e87c,Getting a flat tire on the way home from work,-5
wa54e87c,Finding a $20 bill on the street,5
wa54e87c,Winning the lottery,10
w8bf2756,Finding a $20 bill on the street,3
w8bf2756,Free dinner with a friend at your favorite restaurant,6
w8bf2756,Stubbing your toe,-2
w8bf2756,Breaking both legs in a car accident,-10
w8bf2756,Winning the lottery,10
w8bf2756,Eating a spoonfull of rice,0
w8bf2756,Getting a flat tire on the way home from work,-4
wa83490a,Finding a $20 bill on the street,10
wa83490a,Eating a spoonfull of rice,0
wa83490a,Stubbing your toe,5
wa83490a,Breaking both legs in a car accident,-10
wa83490a,Free dinner with a friend at your favorite restaurant,10
wa83490a,Getting a flat tire on the way home from work,-10
wa83490a,Winning the lottery,10
w5cc1d5f,Breaking both legs in a car accident,-10
w5cc1d5f,Getting a flat tire on the way home from work,-2
w5cc1d5f,Eating a spoonfull of rice,2
w5cc1d5f,Free dinner with a friend at your favorite restaurant,5
w5cc1d5f,Finding a $20 bill on the street,8
w5cc1d5f,Stubbing your toe,-5
w5cc1d5f,Winning the lottery,10
we2c15eb,Breaking both legs in a car accident,-10
we2c15eb,Stubbing your toe,-4
we2c15eb,Getting a flat tire on the way home from work,-8
we2c15eb,Free dinner with a friend at your favorite restaurant,7
we2c15eb,Eating a spoonfull of rice,0
we2c15eb,Winning the lottery,10
we2c15eb,Finding a $20 bill on the street,7
webe692e,Free dinner with a friend at your favorite restaurant,4
webe692e,Finding a $20 bill on the street,2
webe692e,Getting a flat tire on the way home from work,-9
webe692e,Stubbing your toe,-5
webe692e,Winning the lottery,5
webe692e,Eating a spoonfull of rice,1
webe692e,Breaking both legs in a car accident,-10
w4bb9e50,Finding a $20 bill on the street,3
w4bb9e50,Winning the lottery,7
w4bb9e50,Getting a flat tire on the way home from work,-4
w4bb9e50,Breaking both legs in a car accident,-8
w4bb9e50,Eating a spoonfull of rice,1
w4bb9e50,Stubbing your toe,-2
w4bb9e50,Free dinner with a friend at your favorite restaurant,5
w12e2746,Finding a $20 bill on the street,10
w12e2746,Breaking both legs in a car accident,-10
w12e2746,Eating a spoonfull of rice,0
w12e2746,Winning the lottery,10
w12e2746,Stubbing your toe,-10
w12e2746,Getting a flat tire on the way home from work,-10
w12e2746,Free dinner with a friend at your favorite restaurant,10
w57e2544,Getting a flat tire on the way home from work,-1
w57e2544,Breaking both legs in a car accident,-10
w57e2544,Winning the lottery,10
w57e2544,Finding a $20 bill on the street,10
w57e2544,Free dinner with a friend at your favorite restaurant,6
w57e2544,Stubbing your toe,-6
w57e2544,Eating a spoonfull of rice,0
w2b04f7f,Eating a spoonfull of rice,2
w2b04f7f,Stubbing your toe,-2
w2b04f7f,Winning the lottery,10
w2b04f7f,Breaking both legs in a car accident,-10
w2b04f7f,Free dinner with a friend at your favorite restaurant,8
w2b04f7f,Finding a $20 bill on the street,8
w2b04f7f,Getting a flat tire on the way home from work,-4
w84a9534,Winning the lottery,10
w84a9534,Stubbing your toe,-6
w84a9534,Free dinner with a friend at your favorite restaurant,10
w84a9534,Eating a spoonfull of rice,1
w84a9534,Breaking both legs in a car accident,-10
w84a9534,Finding a $20 bill on the street,5
w84a9534,Getting a flat tire on the way home from work,-10
