wid,prompt,response
w20f04e4,Free dinner with a friend at your favorite restaurant,10
w20f04e4,Stubbing your toe,-4
w901f9e7,Breaking both legs in a car accident,-9
w901f9e7,Getting a flat tire on the way home from work,-5
w901f9e7,Stubbing your toe,-1
w901f9e7,Winning the lottery,8
w901f9e7,Finding a $20 bill on the street,3
w901f9e7,Free dinner with a friend at your favorite restaurant,4
w901f9e7,Eating a spoonful of rice,1
w1da4c75,Getting a flat tire on the way home from work,-7
w1da4c75,Stubbing your toe,-2
w1da4c75,Finding a $20 bill on the street,3
w1da4c75,Breaking both legs in a car accident,-9
w1da4c75,Free dinner with a friend at your favorite restaurant,2
w1da4c75,Winning the lottery,6
w1da4c75,Eating a spoonful of rice,0
w4e5ac64,Winning the lottery,8
w4e5ac64,Getting a flat tire on the way home from work,-8
w4e5ac64,Stubbing your toe,-3
w4e5ac64,Eating a spoonful of rice,0
w4e5ac64,Free dinner with a friend at your favorite restaurant,6
w4e5ac64,Breaking both legs in a car accident,-10
w4e5ac64,Finding a $20 bill on the street,4
w9aba902,Free dinner with a friend at your favorite restaurant,6
w9aba902,Winning the lottery,8
w9aba902,Getting a flat tire on the way home from work,-5
w9aba902,Stubbing your toe,-2
w9aba902,Finding a $20 bill on the street,3
w9aba902,Breaking both legs in a car accident,-10
w9aba902,Eating a spoonful of rice,1
wa79b032,Breaking both legs in a car accident,-10
wa79b032,Getting a flat tire on the way home from work,-3
wa79b032,Winning the lottery,10
wa79b032,Stubbing your toe,-2
wa79b032,Free dinner with a friend at your favorite restaurant,5
wa79b032,Eating a spoonful of rice,0
wa79b032,Finding a $20 bill on the street,4
w6360ebe,Getting a flat tire on the way home from work,-3
w6360ebe,Winning the lottery,4
w6360ebe,Stubbing your toe,-1
w6360ebe,Free dinner with a friend at your favorite restaurant,7
w6360ebe,Eating a spoonful of rice,0
w6360ebe,Breaking both legs in a car accident,-6
w6360ebe,Finding a $20 bill on the street,6
w2c59cca,Finding a $20 bill on the street,10
w2c59cca,Eating a spoonful of rice,0
w2c59cca,Stubbing your toe,-10
w2c59cca,Free dinner with a friend at your favorite restaurant,10
w2c59cca,Breaking both legs in a car accident,-10
w2c59cca,Getting a flat tire on the way home from work,-10
w2c59cca,Winning the lottery,10
w2408085,Eating a spoonful of rice,0
w2408085,Stubbing your toe,-7
w2408085,Breaking both legs in a car accident,-10
w2408085,Winning the lottery,8
w2408085,Getting a flat tire on the way home from work,-6
w2408085,Finding a $20 bill on the street,10
w2408085,Free dinner with a friend at your favorite restaurant,7
wd3f4012,Winning the lottery,10
wd3f4012,Eating a spoonful of rice,3
wd3f4012,Breaking both legs in a car accident,-10
wd3f4012,Free dinner with a friend at your favorite restaurant,7
wd3f4012,Finding a $20 bill on the street,5
wd3f4012,Getting a flat tire on the way home from work,-8
wd3f4012,Stubbing your toe,-6
wafec8e6,Winning the lottery,10
wafec8e6,Breaking both legs in a car accident,-10
wafec8e6,Finding a $20 bill on the street,3
wafec8e6,Free dinner with a friend at your favorite restaurant,6
wafec8e6,Getting a flat tire on the way home from work,-5
wafec8e6,Stubbing your toe,-2
wafec8e6,Eating a spoonful of rice,0
wb69610f,Finding a $20 bill on the street,10
wb69610f,Breaking both legs in a car accident,-10
wb69610f,Getting a flat tire on the way home from work,-8
wb69610f,Winning the lottery,10
wb69610f,Free dinner with a friend at your favorite restaurant,0
wb69610f,Stubbing your toe,-7
wb69610f,Eating a spoonful of rice,0
w5a75327,Eating a spoonful of rice,3
w5a75327,Getting a flat tire on the way home from work,-6
w5a75327,Breaking both legs in a car accident,-10
w5a75327,Finding a $20 bill on the street,3
w5a75327,Free dinner with a friend at your favorite restaurant,5
w5a75327,Winning the lottery,7
w5a75327,Stubbing your toe,-4
w8d67f8d,Breaking both legs in a car accident,-6
w8d67f8d,Getting a flat tire on the way home from work,-3
w8d67f8d,Free dinner with a friend at your favorite restaurant,3
w8d67f8d,Stubbing your toe,-1
w8d67f8d,Winning the lottery,10
w8d67f8d,Finding a $20 bill on the street,4
w8d67f8d,Eating a spoonful of rice,0
wc67a831,Free dinner with a friend at your favorite restaurant,9
wc67a831,Stubbing your toe,-8
wc67a831,Getting a flat tire on the way home from work,-9
wc67a831,Eating a spoonful of rice,4
wc67a831,Finding a $20 bill on the street,6
wc67a831,Breaking both legs in a car accident,-10
wc67a831,Winning the lottery,10
w59dae45,Getting a flat tire on the way home from work,-5
w59dae45,Winning the lottery,10
w59dae45,Free dinner with a friend at your favorite restaurant,6
w59dae45,Finding a $20 bill on the street,5
w59dae45,Breaking both legs in a car accident,-8
w59dae45,Eating a spoonful of rice,0
w59dae45,Stubbing your toe,-3
wcd1b3f4,Winning the lottery,8
wcd1b3f4,Getting a flat tire on the way home from work,-8
wcd1b3f4,Finding a $20 bill on the street,7
wcd1b3f4,Eating a spoonful of rice,0
wcd1b3f4,Free dinner with a friend at your favorite restaurant,7
wcd1b3f4,Breaking both legs in a car accident,-10
wcd1b3f4,Stubbing your toe,-6
wee18d3e,Finding a $20 bill on the street,8
wee18d3e,Eating a spoonful of rice,0
wee18d3e,Free dinner with a friend at your favorite restaurant,7
wee18d3e,Getting a flat tire on the way home from work,-8
wee18d3e,Breaking both legs in a car accident,-10
wee18d3e,Stubbing your toe,-2
wee18d3e,Winning the lottery,10
w62e74fb,Breaking both legs in a car accident,-8
w62e74fb,Stubbing your toe,-1
w62e74fb,Free dinner with a friend at your favorite restaurant,5
w62e74fb,Eating a spoonful of rice,1
w62e74fb,Winning the lottery,10
w62e74fb,Getting a flat tire on the way home from work,-5
w62e74fb,Finding a $20 bill on the street,4
wc495851,Free dinner with a friend at your favorite restaurant,10
wc495851,Finding a $20 bill on the street,10
wc495851,Winning the lottery,9
wc495851,Breaking both legs in a car accident,-10
wc495851,Stubbing your toe,-6
wc495851,Eating a spoonful of rice,0
wc495851,Getting a flat tire on the way home from work,-9
w55149e3,Breaking both legs in a car accident,-10
w55149e3,Eating a spoonful of rice,5
w55149e3,Free dinner with a friend at your favorite restaurant,3
w55149e3,Stubbing your toe,-4
w55149e3,Getting a flat tire on the way home from work,-7
w55149e3,Finding a $20 bill on the street,6
w55149e3,Winning the lottery,10
w6677efa,Finding a $20 bill on the street,6
w6677efa,Stubbing your toe,-8
w6677efa,Breaking both legs in a car accident,-10
w6677efa,Eating a spoonful of rice,2
w6677efa,Winning the lottery,10
w6677efa,Free dinner with a friend at your favorite restaurant,7
w6677efa,Getting a flat tire on the way home from work,-3
w7102a2b,Eating a spoonful of rice,5
w7102a2b,Getting a flat tire on the way home from work,-10
w7102a2b,Finding a $20 bill on the street,8
w7102a2b,Winning the lottery,10
w7102a2b,Stubbing your toe,-9
w7102a2b,Free dinner with a friend at your favorite restaurant,9
w7102a2b,Breaking both legs in a car accident,-10
wc561ff6,Free dinner with a friend at your favorite restaurant,7
wc561ff6,Stubbing your toe,-2
wc561ff6,Breaking both legs in a car accident,-10
wc561ff6,Eating a spoonful of rice,0
wc561ff6,Winning the lottery,10
wc561ff6,Finding a $20 bill on the street,4
wc561ff6,Getting a flat tire on the way home from work,-6
w11922b8,Breaking both legs in a car accident,-10
w11922b8,Stubbing your toe,-1
w11922b8,Free dinner with a friend at your favorite restaurant,7
w11922b8,Eating a spoonful of rice,3
w11922b8,Winning the lottery,10
w11922b8,Getting a flat tire on the way home from work,-5
w11922b8,Finding a $20 bill on the street,5
wc0f8186,Breaking both legs in a car accident,-10
wc0f8186,Getting a flat tire on the way home from work,-5
wc0f8186,Finding a $20 bill on the street,5
wc0f8186,Free dinner with a friend at your favorite restaurant,7
wc0f8186,Winning the lottery,10
wc0f8186,Eating a spoonful of rice,0
wc0f8186,Stubbing your toe,-5
wac5dd84,Eating a spoonful of rice,4
wac5dd84,Getting a flat tire on the way home from work,-10
wac5dd84,Winning the lottery,10
wac5dd84,Breaking both legs in a car accident,-10
wac5dd84,Finding a $20 bill on the street,10
wac5dd84,Free dinner with a friend at your favorite restaurant,10
wac5dd84,Stubbing your toe,-10
wbc9768e,Finding a $20 bill on the street,10
wbc9768e,Getting a flat tire on the way home from work,-10
wbc9768e,Breaking both legs in a car accident,-10
wbc9768e,Stubbing your toe,-10
wbc9768e,Free dinner with a friend at your favorite restaurant,-10
wbc9768e,Winning the lottery,-10
wbc9768e,Eating a spoonful of rice,2
