wid,outcome,evaluation,prompt_id
w6d7538b,geography,5,Subjects (magic)
w6d7538b,psychology,10,Subjects (magic)
w6d7538b,statistics,-2,Subjects (magic)
w6d7538b,calculus,-2,Subjects (magic)
w6d7538b,chemistry,1,Subjects (magic)
w6d7538b,engineering,-1,Subjects (magic)
w6d7538b,science,0,Subjects (magic)
w6d7538b,economics,0,Subjects (magic)
w6d7538b,geology,0,Subjects (magic)
w6d7538b,french,0,Subjects (magic)
w6d7538b,computer science,0,Subjects (magic)
w6d7538b,literature,8,Subjects (magic)
w6d7538b,spanish,10,Subjects (magic)
w6d7538b,sociology,10,Subjects (magic)
w6d7538b,religion,5,Subjects (magic)
w6d7538b,biology,0,Subjects (magic)
w6d7538b,latin,7,Subjects (magic)
w6d7538b,art,7,Subjects (magic)
w6d7538b,algebra,0,Subjects (magic)
w6d7538b,math,0,Subjects (magic)
w6d7538b,boat,-6,Vehicles (veto)
w6d7538b,airplane,-9,Vehicles (veto)
w6d7538b,cab,2,Vehicles (veto)
w6d7538b,taxi,2,Vehicles (veto)
w6d7538b,bus,2,Vehicles (veto)
w6d7538b,ferry,2,Vehicles (veto)
w6d7538b,moped,5,Vehicles (veto)
w6d7538b,trolley,0,Vehicles (veto)
w6d7538b,ship,-7,Vehicles (veto)
w6d7538b,unicycle,9,Vehicles (veto)
w6d7538b,subway,-5,Vehicles (veto)
w6d7538b,train,-5,Vehicles (veto)
w6d7538b,truck,0,Vehicles (veto)
w6d7538b,tram,3,Vehicles (veto)
w6d7538b,skateboard,-2,Vehicles (veto)
w6d7538b,car,-10,Vehicles (veto)
w6d7538b,helicopter,6,Vehicles (veto)
w6d7538b,scooter,6,Vehicles (veto)
w6d7538b,bicycle,-2,Vehicles (veto)
w6d7538b,uber,-1,Vehicles (veto)
w6d7538b,walking,-10,Vehicles (veto)
w6d7538b,motorcycle,1,Vehicles (veto)
w6d7538b,horse,5,Vehicles (veto)
w6d7538b,rugby,0,Sports (silence)
w6d7538b,baseball,-5,Sports (silence)
w6d7538b,volleyball,0,Sports (silence)
w6d7538b,basketball,-3,Sports (silence)
w6d7538b,fencing,0,Sports (silence)
w6d7538b,swimming,0,Sports (silence)
w6d7538b,snowboarding,0,Sports (silence)
w6d7538b,cricket,0,Sports (silence)
w6d7538b,boxing,0,Sports (silence)
w6d7538b,figure skating,0,Sports (silence)
w6d7538b,track,0,Sports (silence)
w6d7538b,gymnastics,0,Sports (silence)
w6d7538b,hockey,-9,Sports (silence)
w6d7538b,football,-10,Sports (silence)
w6d7538b,soccer,0,Sports (silence)
w6d7538b,mixed martial arts,0,Sports (silence)
w6d7538b,lacrosse,0,Sports (silence)
w6d7538b,wrestling,0,Sports (silence)
w6d7538b,archery,0,Sports (silence)
w6d7538b,bowling,-7,Sports (silence)
w6d7538b,diving,0,Sports (silence)
w6d7538b,golf,0,Sports (silence)
w6d7538b,skiing,0,Sports (silence)
w6d7538b,tennis,0,Sports (silence)
w6d7538b,softball,0,Sports (silence)
w6c23a1b,UNK,9,PRACTICE
w6c23a1b,UNK,10,PRACTICE
w6c23a1b,UNK,5,PRACTICE
w6c23a1b,UNK,7,PRACTICE
w6c23a1b,UNK,9,PRACTICE
w6c23a1b,UNK,7,PRACTICE
w6c23a1b,UNK,7,PRACTICE
w6c23a1b,UNK,9,PRACTICE
w6c23a1b,philosophy,4,Subjects (school)
w6c23a1b,calculus,0,Subjects (school)
w6c23a1b,german,2,Subjects (school)
w6c23a1b,political science,3,Subjects (school)
w6c23a1b,history,2,Subjects (school)
w6c23a1b,algebra,3,Subjects (school)
w6c23a1b,computer science,-3,Subjects (school)
w6c23a1b,biology,-5,Subjects (school)
w6c23a1b,geometry,2,Subjects (school)
w6c23a1b,engineering,-3,Subjects (school)
w6c23a1b,geology,2,Subjects (school)
w6c23a1b,geography,1,Subjects (school)
w6c23a1b,literature,3,Subjects (school)
w6c23a1b,economics,-5,Subjects (school)
w6c23a1b,latin,-2,Subjects (school)
w6c23a1b,religion,5,Subjects (school)
w6c23a1b,psychology,3,Subjects (school)
w6c23a1b,music,7,Subjects (school)
w6c23a1b,art,3,Subjects (school)
w6c23a1b,physics,1,Subjects (school)
w6c23a1b,french,-3,Subjects (school)
w6c23a1b,chemistry,-6,Subjects (school)
w6c23a1b,sociology,3,Subjects (school)
w6c23a1b,spanish,-3,Subjects (school)
w6c23a1b,english,3,Subjects (school)
w6c23a1b,science,-5,Subjects (school)
w6c23a1b,math,2,Subjects (school)
w6c23a1b,statistics,-7,Subjects (school)
w6c23a1b,uber,2,Vehicles (commute)
w6c23a1b,horse,-3,Vehicles (commute)
w6c23a1b,cab,2,Vehicles (commute)
w6c23a1b,airplane,-2,Vehicles (commute)
w6c23a1b,scooter,-5,Vehicles (commute)
w6c23a1b,skateboard,2,Vehicles (commute)
w6c23a1b,truck,-2,Vehicles (commute)
w6c23a1b,moped,-4,Vehicles (commute)
w6c23a1b,trolley,-1,Vehicles (commute)
w6c23a1b,bus,3,Vehicles (commute)
w6c23a1b,motorcycle,3,Vehicles (commute)
w6c23a1b,subway,2,Vehicles (commute)
w6c23a1b,helicopter,-3,Vehicles (commute)
w6c23a1b,tram,1,Vehicles (commute)
w6c23a1b,walking,1,Vehicles (commute)
w6c23a1b,bicycle,3,Vehicles (commute)
w6c23a1b,car,5,Vehicles (commute)
w6c23a1b,ship,-3,Vehicles (commute)
w6c23a1b,train,2,Vehicles (commute)
w6c23a1b,boat,-3,Vehicles (commute)
w6c23a1b,unicycle,-6,Vehicles (commute)
w6c23a1b,taxi,1,Vehicles (commute)
w6c23a1b,ferry,-3,Vehicles (commute)
w6c23a1b,polar bear,2,Animals (intimate)
w6c23a1b,giraffe,4,Animals (intimate)
w6c23a1b,kangaroo,3,Animals (intimate)
w6c23a1b,tiger,1,Animals (intimate)
w6c23a1b,monkey,-4,Animals (intimate)
w6c23a1b,turtle,6,Animals (intimate)
w6c23a1b,zebra,7,Animals (intimate)
w6c23a1b,penguin,5,Animals (intimate)
w6c23a1b,lizard,2,Animals (intimate)
w6c23a1b,hippo,-2,Animals (intimate)
w6c23a1b,shark,2,Animals (intimate)
w6c23a1b,flamingo,-3,Animals (intimate)
w6c23a1b,rhinoceros,3,Animals (intimate)
w6c23a1b,panda,7,Animals (intimate)
w6c23a1b,leopard,2,Animals (intimate)
w6c23a1b,frog,4,Animals (intimate)
w6c23a1b,bird,3,Animals (intimate)
w6c23a1b,otter,7,Animals (intimate)
w6c23a1b,gorilla,-4,Animals (intimate)
w6c23a1b,sea lion,3,Animals (intimate)
w6c23a1b,bear,-3,Animals (intimate)
w6c23a1b,ostrich,-3,Animals (intimate)
w6c23a1b,alligator,-2,Animals (intimate)
w6c23a1b,llama,-2,Animals (intimate)
w6c23a1b,koala,5,Animals (intimate)
w6c23a1b,crocodile,-2,Animals (intimate)
w6c23a1b,meerkat,4,Animals (intimate)
w6c23a1b,lion,3,Animals (intimate)
w6c23a1b,fish,5,Animals (intimate)
w6c23a1b,elephant,2,Animals (intimate)
w6c23a1b,dolphin,7,Animals (intimate)
w6c23a1b,cheetah,-2,Animals (intimate)
w6c23a1b,seal,3,Animals (intimate)
w6c23a1b,horse,4,Animals (intimate)
w6c23a1b,snake,5,Animals (intimate)
w6c23a1b,wolf,4,Animals (intimate)
w6c23a1b,lemur,2,Animals (intimate)
w6c23a1b,hockey,1,Sports (season)
w6c23a1b,swimming,-2,Sports (season)
w6c23a1b,diving,3,Sports (season)
w6c23a1b,mixed martial arts,-1,Sports (season)
w6c23a1b,archery,-2,Sports (season)
w6c23a1b,bowling,-5,Sports (season)
w6c23a1b,tennis,-2,Sports (season)
w6c23a1b,softball,-2,Sports (season)
w6c23a1b,soccer,3,Sports (season)
w6c23a1b,figure skating,5,Sports (season)
w6c23a1b,football,1,Sports (season)
w6c23a1b,snowboarding,3,Sports (season)
w6c23a1b,fencing,-3,Sports (season)
w6c23a1b,skiing,5,Sports (season)
w6c23a1b,lacrosse,-2,Sports (season)
w6c23a1b,boxing,-7,Sports (season)
w6c23a1b,rugby,2,Sports (season)
w6c23a1b,basketball,3,Sports (season)
w6c23a1b,golf,-8,Sports (season)
w6c23a1b,baseball,2,Sports (season)
w6c23a1b,track,-6,Sports (season)
w6c23a1b,wrestling,-9,Sports (season)
w6c23a1b,volleyball,2,Sports (season)
w6c23a1b,cricket,-4,Sports (season)
w6c23a1b,gymnastics,8,Sports (season)
