wid,outcome,evaluation,prompt_id,raw_outcome
w69e0b53,koala,9,Animals (bubble),koala
w69e0b53,lion,9,Animals (bubble),lion
w69e0b53,gorilla,10,Animals (bubble),gorilla
w69e0b53,elephant,10,Animals (bubble),elephant
w69e0b53,cobra,-4,Animals (bubble),cobra
w69e0b53,lemur,9,Animals (bubble),lemur
w69e0b53,peacock,-1,Animals (bubble),peacock
w69e0b53,monkey,10,Animals (bubble),monkey
w69e0b53,amsterdam,3,Cities (moving),Amsterdam
w69e0b53,paris,-2,Cities (moving),Paris
w69e0b53,madrid,1,Cities (moving),Madrid
w69e0b53,london,-1,Cities (moving),London
w69e0b53,venice,2,Cities (moving),Venice
w69e0b53,vienna,2,Cities (moving),Vienna
w69e0b53,rome,2,Cities (moving),Rome
w69e0b53,athens,7,Cities (moving),Athens
w69e0b53,volleyball,0,Sports (silence),volleyball
w69e0b53,basketball,-1,Sports (silence),basketball
w69e0b53,tennis,2,Sports (silence),tennis
w69e0b53,baseball,0,Sports (silence),baseball
w69e0b53,bowling,2,Sports (silence),bowling
w69e0b53,boxing,0,Sports (silence),boxing
w69e0b53,golf,1,Sports (silence),golf
w69e0b53,rugby,1,Sports (silence),rugby
w69e0b53,football,-8,Sports (silence),football
w69e0b53,badminton,1,Sports (silence),badminton
w69e0b53,cricket,1,Sports (silence),cricket
w69e0b53,soccer,-2,Sports (silence),soccer
w7844135,venice,4,Cities (vacation),Venice
w7844135,vienna,3,Cities (vacation),Vienna
w7844135,madrid,-3,Cities (vacation),Madrid
w7844135,rome,6,Cities (vacation),Rome
w7844135,amsterdam,-4,Cities (vacation),Amsterdam
w7844135,athens,2,Cities (vacation),Athens
w7844135,paris,7,Cities (vacation),Paris
w7844135,london,10,Cities (vacation),London
w7844135,skateboard,-10,Vehicles (commute),skateboard
w7844135,train,8,Vehicles (commute),train
w7844135,helicopter,-7,Vehicles (commute),helicopter
w7844135,car,2,Vehicles (commute),car
w7844135,bicycle,-10,Vehicles (commute),bicycle
w7844135,limousine,9,Vehicles (commute),limousine
w7844135,scooter,5,Vehicles (commute),scooter
w7844135,plane,7,Vehicles (commute),plane
w7844135,boat,-1,Vehicles (commute),boat
w7844135,unicycle,-10,Vehicles (commute),unicycle
w7844135,bus,-6,Vehicles (commute),bus
w7844135,english,10,Subjects (school),english
w7844135,algebra,4,Subjects (school),algebra
w7844135,spanish,-8,Subjects (school),spanish
w7844135,biology,0,Subjects (school),biology
w7844135,french,-9,Subjects (school),french
w7844135,geometry,3,Subjects (school),geometry
w7844135,physics,-3,Subjects (school),physics
w7844135,history,0,Subjects (school),history
w7844135,calculus,-4,Subjects (school),calculus
w7844135,chemistry,5,Subjects (school),chemistry
w7844135,tennis,-7,Sports (season),tennis
w7844135,cricket,-8,Sports (season),cricket
w7844135,badminton,4,Sports (season),badminton
w7844135,boxing,-5,Sports (season),boxing
w7844135,baseball,-10,Sports (season),baseball
w7844135,bowling,-3,Sports (season),bowling
w7844135,soccer,-9,Sports (season),soccer
w7844135,golf,-10,Sports (season),golf
w7844135,rugby,-9,Sports (season),rugby
w7844135,basketball,-8,Sports (season),basketball
w7844135,volleyball,6,Sports (season),volleyball
w7844135,football,-9,Sports (season),football
w7844135,rhinoceros,-10,Animals (intimate),rhinoceros
w7844135,kangaroo,-6,Animals (intimate),kangaroo
w7844135,crocodile,-10,Animals (intimate),crocodile
w7844135,gorilla,-9,Animals (intimate),gorilla
w7844135,monkey,-7,Animals (intimate),monkey
w7844135,deer,-1,Animals (intimate),deer
w7844135,koala,0,Animals (intimate),koala
w7844135,jaguar,-10,Animals (intimate),jaguar
w7844135,zebra,-1,Animals (intimate),zebra
w7844135,giraffe,-3,Animals (intimate),giraffe
w7844135,sloth,1,Animals (intimate),sloth
w7844135,lion,-5,Animals (intimate),lion
w7844135,cobra,-10,Animals (intimate),cobra
w7844135,elephant,-10,Animals (intimate),elephant
w7844135,lemur,-1,Animals (intimate),lemur
w7844135,panda,1,Animals (intimate),panda
w7844135,peacock,-2,Animals (intimate),peacock
w7844135,tiger,-9,Animals (intimate),tiger
w7844135,peach,0,Fruit (ripe),peach
w7844135,lemon,-10,Fruit (ripe),lemon
w7844135,orange,5,Fruit (ripe),orange
w7844135,cantaloupe,4,Fruit (ripe),cantaloupe
w7844135,grape,9,Fruit (ripe),grape
w7844135,mango,0,Fruit (ripe),mango
w7844135,strawberry,10,Fruit (ripe),strawberry
w7844135,blueberry,9,Fruit (ripe),blueberry
w7844135,pineapple,8,Fruit (ripe),pineapple
w7844135,raspberry,10,Fruit (ripe),raspberry
w7844135,watermelon,-7,Fruit (ripe),watermelon
w7844135,blackberry,9,Fruit (ripe),blackberry
w7844135,banana,10,Fruit (ripe),banana
w721d930,vienna,6,Cities (vacation),Vienna
w721d930,athens,4,Cities (vacation),Athens
w721d930,venice,7,Cities (vacation),Venice
w721d930,madrid,7,Cities (vacation),Madrid
w721d930,london,5,Cities (vacation),London
w721d930,paris,4,Cities (vacation),Paris
w721d930,rome,7,Cities (vacation),Rome
w721d930,amsterdam,7,Cities (vacation),Amsterdam
w721d930,giraffe,8,Animals (intimate),giraffe
w721d930,crocodile,-2,Animals (intimate),crocodile
w721d930,lemur,5,Animals (intimate),lemur
w721d930,tiger,2,Animals (intimate),tiger
w721d930,koala,7,Animals (intimate),koala
w721d930,zebra,6,Animals (intimate),zebra
w721d930,peacock,2,Animals (intimate),peacock
w721d930,deer,5,Animals (intimate),deer
w721d930,elephant,5,Animals (intimate),elephant
w721d930,jaguar,1,Animals (intimate),jaguar
w721d930,gorilla,3,Animals (intimate),gorilla
w721d930,kangaroo,5,Animals (intimate),kangaroo
w721d930,panda,5,Animals (intimate),panda
w721d930,rhinoceros,1,Animals (intimate),rhinoceros
w721d930,monkey,6,Animals (intimate),monkey
w721d930,cobra,-1,Animals (intimate),cobra
w721d930,sloth,7,Animals (intimate),sloth
w721d930,lion,2,Animals (intimate),lion
w721d930,blueberry,7,Fruit (ripe),blueberry
w721d930,blackberry,6,Fruit (ripe),blackberry
w721d930,cantaloupe,-1,Fruit (ripe),cantaloupe
w721d930,strawberry,8,Fruit (ripe),strawberry
w721d930,grape,8,Fruit (ripe),grape
w721d930,orange,7,Fruit (ripe),orange
w721d930,mango,7,Fruit (ripe),mango
w721d930,banana,6,Fruit (ripe),banana
w721d930,watermelon,9,Fruit (ripe),watermelon
w721d930,lemon,5,Fruit (ripe),lemon
w721d930,peach,9,Fruit (ripe),peach
w721d930,raspberry,7,Fruit (ripe),raspberry
w721d930,pineapple,9,Fruit (ripe),pineapple
w721d930,badminton,-1,Sports (season),badminton
w721d930,baseball,6,Sports (season),baseball
w721d930,boxing,2,Sports (season),boxing
w721d930,tennis,2,Sports (season),tennis
w721d930,soccer,6,Sports (season),soccer
w721d930,volleyball,2,Sports (season),volleyball
w721d930,bowling,7,Sports (season),bowling
w721d930,basketball,7,Sports (season),basketball
w721d930,cricket,-3,Sports (season),cricket
w721d930,football,4,Sports (season),football
w721d930,golf,-3,Sports (season),golf
w721d930,rugby,1,Sports (season),rugby
w721d930,limousine,7,Vehicles (commute),limousine
w721d930,scooter,3,Vehicles (commute),scooter
w721d930,plane,7,Vehicles (commute),plane
w721d930,bus,5,Vehicles (commute),bus
w721d930,train,7,Vehicles (commute),train
w721d930,bicycle,5,Vehicles (commute),bicycle
w721d930,boat,3,Vehicles (commute),boat
w721d930,helicopter,4,Vehicles (commute),helicopter
w721d930,skateboard,3,Vehicles (commute),skateboard
w721d930,car,7,Vehicles (commute),car
w721d930,unicycle,-1,Vehicles (commute),unicycle
w721d930,history,4,Subjects (school),history
w721d930,biology,4,Subjects (school),biology
w721d930,spanish,6,Subjects (school),spanish
w721d930,calculus,8,Subjects (school),calculus
w721d930,chemistry,7,Subjects (school),chemistry
w721d930,french,1,Subjects (school),french
w721d930,english,6,Subjects (school),english
w721d930,algebra,7,Subjects (school),algebra
w721d930,physics,7,Subjects (school),physics
w721d930,geometry,8,Subjects (school),geometry
we40e3da,calculus,-5,Subjects (school),calculus
we40e3da,history,3,Subjects (school),history
we40e3da,french,-5,Subjects (school),french
we40e3da,biology,5,Subjects (school),biology
we40e3da,physics,1,Subjects (school),physics
we40e3da,geometry,-4,Subjects (school),geometry
we40e3da,english,3,Subjects (school),english
we40e3da,spanish,-1,Subjects (school),spanish
we40e3da,chemistry,-2,Subjects (school),chemistry
we40e3da,algebra,-3,Subjects (school),algebra
we40e3da,panda,-3,Animals (intimate),panda
we40e3da,deer,-2,Animals (intimate),deer
we40e3da,lemur,3,Animals (intimate),lemur
we40e3da,sloth,3,Animals (intimate),sloth
we40e3da,tiger,-4,Animals (intimate),tiger
we40e3da,monkey,1,Animals (intimate),monkey
we40e3da,cobra,-1,Animals (intimate),cobra
we40e3da,crocodile,-1,Animals (intimate),crocodile
we40e3da,jaguar,-2,Animals (intimate),jaguar
we40e3da,giraffe,-1,Animals (intimate),giraffe
we40e3da,lion,-3,Animals (intimate),lion
we40e3da,gorilla,4,Animals (intimate),gorilla
we40e3da,koala,1,Animals (intimate),koala
we40e3da,kangaroo,1,Animals (intimate),kangaroo
we40e3da,peacock,-1,Animals (intimate),peacock
we40e3da,zebra,-2,Animals (intimate),zebra
we40e3da,rhinoceros,-1,Animals (intimate),rhinoceros
we40e3da,elephant,3,Animals (intimate),elephant
we40e3da,volleyball,-1,Sports (season),volleyball
we40e3da,tennis,-1,Sports (season),tennis
we40e3da,baseball,-2,Sports (season),baseball
we40e3da,golf,-2,Sports (season),golf
we40e3da,boxing,-3,Sports (season),boxing
we40e3da,soccer,-1,Sports (season),soccer
we40e3da,football,-1,Sports (season),football
we40e3da,rugby,0,Sports (season),rugby
we40e3da,badminton,0,Sports (season),badminton
we40e3da,bowling,-1,Sports (season),bowling
we40e3da,cricket,-1,Sports (season),cricket
we40e3da,basketball,-3,Sports (season),basketball
we40e3da,peach,-1,Fruit (ripe),peach
we40e3da,grape,-1,Fruit (ripe),grape
we40e3da,mango,-1,Fruit (ripe),mango
we40e3da,watermelon,-1,Fruit (ripe),watermelon
we40e3da,blueberry,-1,Fruit (ripe),blueberry
we40e3da,raspberry,-1,Fruit (ripe),raspberry
we40e3da,blackberry,-1,Fruit (ripe),blackberry
we40e3da,cantaloupe,-1,Fruit (ripe),cantaloupe
we40e3da,lemon,-1,Fruit (ripe),lemon
we40e3da,banana,-2,Fruit (ripe),banana
we40e3da,orange,-1,Fruit (ripe),orange
we40e3da,strawberry,-1,Fruit (ripe),strawberry
we40e3da,pineapple,-1,Fruit (ripe),pineapple
we40e3da,bicycle,-4,Vehicles (commute),bicycle
we40e3da,limousine,4,Vehicles (commute),limousine
we40e3da,skateboard,-5,Vehicles (commute),skateboard
we40e3da,boat,-6,Vehicles (commute),boat
we40e3da,train,-3,Vehicles (commute),train
we40e3da,car,0,Vehicles (commute),car
we40e3da,plane,1,Vehicles (commute),plane
we40e3da,scooter,-2,Vehicles (commute),scooter
we40e3da,unicycle,-3,Vehicles (commute),unicycle
we40e3da,bus,-3,Vehicles (commute),bus
we40e3da,helicopter,5,Vehicles (commute),helicopter
we40e3da,madrid,4,Cities (vacation),Madrid
we40e3da,amsterdam,6,Cities (vacation),Amsterdam
we40e3da,london,7,Cities (vacation),London
we40e3da,paris,6,Cities (vacation),Paris
we40e3da,venice,4,Cities (vacation),Venice
we40e3da,athens,1,Cities (vacation),Athens
we40e3da,vienna,4,Cities (vacation),Vienna
we40e3da,rome,6,Cities (vacation),Rome
w3da6289,tennis,-4,Sports (silence),tennis
w3da6289,soccer,0,Sports (silence),soccer
w3da6289,baseball,0,Sports (silence),baseball
w3da6289,cricket,0,Sports (silence),cricket
w3da6289,badminton,0,Sports (silence),badminton
w3da6289,rugby,0,Sports (silence),rugby
w3da6289,bowling,0,Sports (silence),bowling
w3da6289,basketball,0,Sports (silence),basketball
w3da6289,boxing,0,Sports (silence),boxing
w3da6289,football,2,Sports (silence),football
w3da6289,volleyball,-1,Sports (silence),volleyball
w3da6289,golf,-1,Sports (silence),golf
w3da6289,amsterdam,-4,Cities (moving),Amsterdam
w3da6289,paris,1,Cities (moving),Paris
w3da6289,vienna,3,Cities (moving),Vienna
w3da6289,madrid,1,Cities (moving),Madrid
w3da6289,athens,1,Cities (moving),Athens
w3da6289,london,1,Cities (moving),London
w3da6289,venice,5,Cities (moving),Venice
w3da6289,rome,1,Cities (moving),Rome
w3da6289,plane,0,Vehicles (veto),plane
w3da6289,scooter,1,Vehicles (veto),scooter
w3da6289,bus,1,Vehicles (veto),bus
w3da6289,boat,1,Vehicles (veto),boat
w3da6289,unicycle,3,Vehicles (veto),unicycle
w3da6289,skateboard,1,Vehicles (veto),skateboard
w3da6289,train,0,Vehicles (veto),train
w3da6289,bicycle,0,Vehicles (veto),bicycle
w3da6289,car,0,Vehicles (veto),car
w3da6289,limousine,0,Vehicles (veto),limousine
w3da6289,helicopter,3,Vehicles (veto),helicopter
w3da6289,monkey,0,Animals (bubble),monkey
w3da6289,giraffe,1,Animals (bubble),giraffe
w3da6289,zebra,1,Animals (bubble),zebra
w3da6289,tiger,5,Animals (bubble),tiger
w3da6289,jaguar,1,Animals (bubble),jaguar
w3da6289,lemur,1,Animals (bubble),lemur
w3da6289,sloth,-1,Animals (bubble),sloth
w3da6289,koala,1,Animals (bubble),koala
w3da6289,peacock,-1,Animals (bubble),peacock
w3da6289,elephant,1,Animals (bubble),elephant
w3da6289,cobra,-2,Animals (bubble),cobra
w3da6289,rhinoceros,-1,Animals (bubble),rhinoceros
w3da6289,lion,5,Animals (bubble),lion
w3da6289,kangaroo,2,Animals (bubble),kangaroo
w3da6289,panda,1,Animals (bubble),panda
w3da6289,gorilla,1,Animals (bubble),gorilla
w3da6289,crocodile,-1,Animals (bubble),crocodile
w3da6289,deer,-1,Animals (bubble),deer
w3da6289,geometry,1,Subjects (magic),geometry
w3da6289,calculus,0,Subjects (magic),calculus
w3da6289,physics,1,Subjects (magic),physics
w3da6289,chemistry,2,Subjects (magic),chemistry
w3da6289,biology,6,Subjects (magic),biology
w3da6289,algebra,0,Subjects (magic),algebra
w3da6289,history,2,Subjects (magic),history
w3da6289,spanish,2,Subjects (magic),spanish
w3da6289,french,2,Subjects (magic),french
w3da6289,english,2,Subjects (magic),english
w3da6289,cantaloupe,1,Fruit (daily),cantaloupe
w3da6289,grape,3,Fruit (daily),grape
w3da6289,watermelon,1,Fruit (daily),watermelon
w3da6289,orange,1,Fruit (daily),orange
w3da6289,blackberry,1,Fruit (daily),blackberry
w3da6289,strawberry,-3,Fruit (daily),strawberry
w3da6289,raspberry,-1,Fruit (daily),raspberry
w3da6289,pineapple,-1,Fruit (daily),pineapple
w3da6289,blueberry,3,Fruit (daily),blueberry
w3da6289,mango,-1,Fruit (daily),mango
w3da6289,lemon,-3,Fruit (daily),lemon
w3da6289,peach,-1,Fruit (daily),peach
w3da6289,banana,7,Fruit (daily),banana
wa7e71ea,baseball,0,Sports (silence),baseball
wa7e71ea,boxing,-8,Sports (silence),boxing
wa7e71ea,volleyball,0,Sports (silence),volleyball
wa7e71ea,tennis,0,Sports (silence),tennis
wa7e71ea,badminton,0,Sports (silence),badminton
wa7e71ea,rugby,0,Sports (silence),rugby
wa7e71ea,cricket,0,Sports (silence),cricket
wa7e71ea,basketball,-10,Sports (silence),basketball
wa7e71ea,football,-10,Sports (silence),football
wa7e71ea,golf,-5,Sports (silence),golf
wa7e71ea,soccer,-10,Sports (silence),soccer
wa7e71ea,bowling,0,Sports (silence),bowling
wa7e71ea,crocodile,-5,Animals (bubble),crocodile
wa7e71ea,cobra,5,Animals (bubble),cobra
wa7e71ea,tiger,10,Animals (bubble),tiger
wa7e71ea,koala,0,Animals (bubble),koala
wa7e71ea,monkey,10,Animals (bubble),monkey
wa7e71ea,elephant,0,Animals (bubble),elephant
wa7e71ea,panda,0,Animals (bubble),panda
wa7e71ea,lemur,-5,Animals (bubble),lemur
wa7e71ea,kangaroo,0,Animals (bubble),kangaroo
wa7e71ea,jaguar,5,Animals (bubble),jaguar
wa7e71ea,deer,-5,Animals (bubble),deer
wa7e71ea,sloth,-10,Animals (bubble),sloth
wa7e71ea,rhinoceros,5,Animals (bubble),rhinoceros
wa7e71ea,lion,10,Animals (bubble),lion
wa7e71ea,giraffe,5,Animals (bubble),giraffe
wa7e71ea,gorilla,10,Animals (bubble),gorilla
wa7e71ea,peacock,-5,Animals (bubble),peacock
wa7e71ea,zebra,0,Animals (bubble),zebra
wa7e71ea,cantaloupe,10,Fruit (daily),cantaloupe
wa7e71ea,blackberry,5,Fruit (daily),blackberry
wa7e71ea,peach,-5,Fruit (daily),peach
wa7e71ea,banana,5,Fruit (daily),banana
wa7e71ea,pineapple,-10,Fruit (daily),pineapple
wa7e71ea,raspberry,-5,Fruit (daily),raspberry
wa7e71ea,grape,10,Fruit (daily),grape
wa7e71ea,watermelon,5,Fruit (daily),watermelon
wa7e71ea,strawberry,10,Fruit (daily),strawberry
wa7e71ea,mango,-5,Fruit (daily),mango
wa7e71ea,orange,6,Fruit (daily),orange
wa7e71ea,lemon,-10,Fruit (daily),lemon
wa7e71ea,blueberry,10,Fruit (daily),blueberry
wa7e71ea,boat,0,Vehicles (veto),boat
wa7e71ea,bus,0,Vehicles (veto),bus
wa7e71ea,skateboard,5,Vehicles (veto),skateboard
wa7e71ea,plane,-5,Vehicles (veto),plane
wa7e71ea,bicycle,0,Vehicles (veto),bicycle
wa7e71ea,limousine,0,Vehicles (veto),limousine
wa7e71ea,train,0,Vehicles (veto),train
wa7e71ea,unicycle,5,Vehicles (veto),unicycle
wa7e71ea,car,-10,Vehicles (veto),car
wa7e71ea,scooter,0,Vehicles (veto),scooter
wa7e71ea,helicopter,0,Vehicles (veto),helicopter
wa7e71ea,geometry,-10,Subjects (magic),geometry
wa7e71ea,spanish,-10,Subjects (magic),spanish
wa7e71ea,physics,10,Subjects (magic),physics
wa7e71ea,english,-6,Subjects (magic),english
wa7e71ea,french,-6,Subjects (magic),french
wa7e71ea,history,10,Subjects (magic),history
wa7e71ea,biology,6,Subjects (magic),biology
wa7e71ea,algebra,-10,Subjects (magic),algebra
wa7e71ea,calculus,-10,Subjects (magic),calculus
wa7e71ea,chemistry,10,Subjects (magic),chemistry
wa7e71ea,amsterdam,5,Cities (moving),Amsterdam
wa7e71ea,venice,10,Cities (moving),Venice
wa7e71ea,paris,5,Cities (moving),Paris
wa7e71ea,london,10,Cities (moving),London
wa7e71ea,vienna,0,Cities (moving),Vienna
wa7e71ea,madrid,0,Cities (moving),Madrid
wa7e71ea,rome,0,Cities (moving),Rome
wa7e71ea,athens,0,Cities (moving),Athens
w2e87b5f,french,4,Subjects (magic),french
w2e87b5f,chemistry,7,Subjects (magic),chemistry
w2e87b5f,history,-2,Subjects (magic),history
w2e87b5f,english,-10,Subjects (magic),english
w2e87b5f,spanish,2,Subjects (magic),spanish
w2e87b5f,geometry,-2,Subjects (magic),geometry
w2e87b5f,algebra,4,Subjects (magic),algebra
w2e87b5f,calculus,4,Subjects (magic),calculus
w2e87b5f,biology,6,Subjects (magic),biology
w2e87b5f,physics,8,Subjects (magic),physics
w2e87b5f,mango,10,Fruit (daily),mango
w2e87b5f,blackberry,10,Fruit (daily),blackberry
w2e87b5f,blueberry,10,Fruit (daily),blueberry
w2e87b5f,peach,10,Fruit (daily),peach
w2e87b5f,lemon,-1,Fruit (daily),lemon
w2e87b5f,strawberry,-2,Fruit (daily),strawberry
w2e87b5f,watermelon,4,Fruit (daily),watermelon
w2e87b5f,cantaloupe,-9,Fruit (daily),cantaloupe
w2e87b5f,raspberry,10,Fruit (daily),raspberry
w2e87b5f,orange,6,Fruit (daily),orange
w2e87b5f,banana,-10,Fruit (daily),banana
w2e87b5f,grape,7,Fruit (daily),grape
w2e87b5f,pineapple,8,Fruit (daily),pineapple
w2e87b5f,monkey,2,Animals (bubble),monkey
w2e87b5f,sloth,-5,Animals (bubble),sloth
w2e87b5f,koala,-5,Animals (bubble),koala
w2e87b5f,elephant,5,Animals (bubble),elephant
w2e87b5f,deer,5,Animals (bubble),deer
w2e87b5f,lemur,6,Animals (bubble),lemur
w2e87b5f,cobra,-1,Animals (bubble),cobra
w2e87b5f,zebra,2,Animals (bubble),zebra
w2e87b5f,tiger,4,Animals (bubble),tiger
w2e87b5f,rhinoceros,5,Animals (bubble),rhinoceros
w2e87b5f,crocodile,-2,Animals (bubble),crocodile
w2e87b5f,panda,3,Animals (bubble),panda
w2e87b5f,lion,5,Animals (bubble),lion
w2e87b5f,jaguar,7,Animals (bubble),jaguar
w2e87b5f,kangaroo,8,Animals (bubble),kangaroo
w2e87b5f,giraffe,8,Animals (bubble),giraffe
w2e87b5f,peacock,-2,Animals (bubble),peacock
w2e87b5f,gorilla,3,Animals (bubble),gorilla
w2e87b5f,amsterdam,2,Cities (moving),Amsterdam
w2e87b5f,venice,3,Cities (moving),Venice
w2e87b5f,paris,6,Cities (moving),Paris
w2e87b5f,london,-10,Cities (moving),London
w2e87b5f,madrid,2,Cities (moving),Madrid
w2e87b5f,rome,4,Cities (moving),Rome
w2e87b5f,vienna,5,Cities (moving),Vienna
w2e87b5f,athens,5,Cities (moving),Athens
w2e87b5f,volleyball,-10,Sports (silence),volleyball
w2e87b5f,football,5,Sports (silence),football
w2e87b5f,rugby,10,Sports (silence),rugby
w2e87b5f,basketball,-1,Sports (silence),basketball
w2e87b5f,tennis,-1,Sports (silence),tennis
w2e87b5f,golf,10,Sports (silence),golf
w2e87b5f,bowling,10,Sports (silence),bowling
w2e87b5f,baseball,-10,Sports (silence),baseball
w2e87b5f,cricket,2,Sports (silence),cricket
w2e87b5f,soccer,10,Sports (silence),soccer
w2e87b5f,badminton,-2,Sports (silence),badminton
w2e87b5f,boxing,-1,Sports (silence),boxing
w2e87b5f,unicycle,10,Vehicles (veto),unicycle
w2e87b5f,skateboard,10,Vehicles (veto),skateboard
w2e87b5f,train,-1,Vehicles (veto),train
w2e87b5f,plane,-4,Vehicles (veto),plane
w2e87b5f,limousine,0,Vehicles (veto),limousine
w2e87b5f,scooter,10,Vehicles (veto),scooter
w2e87b5f,helicopter,10,Vehicles (veto),helicopter
w2e87b5f,boat,10,Vehicles (veto),boat
w2e87b5f,bus,-4,Vehicles (veto),bus
w2e87b5f,car,-10,Vehicles (veto),car
w2e87b5f,bicycle,-10,Vehicles (veto),bicycle
wa63e05b,amsterdam,9,Cities (vacation),Amsterdam
wa63e05b,london,9,Cities (vacation),London
wa63e05b,venice,7,Cities (vacation),Venice
wa63e05b,vienna,7,Cities (vacation),Vienna
wa63e05b,paris,9,Cities (vacation),Paris
wa63e05b,rome,9,Cities (vacation),Rome
wa63e05b,madrid,8,Cities (vacation),Madrid
wa63e05b,athens,9,Cities (vacation),Athens
wa63e05b,golf,-9,Sports (season),golf
wa63e05b,volleyball,-9,Sports (season),volleyball
wa63e05b,boxing,2,Sports (season),boxing
wa63e05b,badminton,-9,Sports (season),badminton
wa63e05b,basketball,5,Sports (season),basketball
wa63e05b,cricket,-9,Sports (season),cricket
wa63e05b,soccer,6,Sports (season),soccer
wa63e05b,football,-9,Sports (season),football
wa63e05b,bowling,0,Sports (season),bowling
wa63e05b,tennis,-5,Sports (season),tennis
wa63e05b,baseball,7,Sports (season),baseball
wa63e05b,rugby,-7,Sports (season),rugby
wa63e05b,blueberry,-9,Fruit (ripe),blueberry
wa63e05b,mango,-5,Fruit (ripe),mango
wa63e05b,raspberry,-4,Fruit (ripe),raspberry
wa63e05b,cantaloupe,-5,Fruit (ripe),cantaloupe
wa63e05b,pineapple,-5,Fruit (ripe),pineapple
wa63e05b,lemon,-5,Fruit (ripe),lemon
wa63e05b,banana,-7,Fruit (ripe),banana
wa63e05b,orange,-5,Fruit (ripe),orange
wa63e05b,peach,-5,Fruit (ripe),peach
wa63e05b,blackberry,-5,Fruit (ripe),blackberry
wa63e05b,watermelon,-5,Fruit (ripe),watermelon
wa63e05b,grape,-5,Fruit (ripe),grape
wa63e05b,strawberry,-5,Fruit (ripe),strawberry
wa63e05b,deer,10,Animals (intimate),deer
wa63e05b,jaguar,-9,Animals (intimate),jaguar
wa63e05b,koala,10,Animals (intimate),koala
wa63e05b,giraffe,10,Animals (intimate),giraffe
wa63e05b,lemur,10,Animals (intimate),lemur
wa63e05b,panda,10,Animals (intimate),panda
wa63e05b,crocodile,-10,Animals (intimate),crocodile
wa63e05b,cobra,-10,Animals (intimate),cobra
wa63e05b,zebra,10,Animals (intimate),zebra
wa63e05b,tiger,-10,Animals (intimate),tiger
wa63e05b,rhinoceros,-10,Animals (intimate),rhinoceros
wa63e05b,gorilla,-7,Animals (intimate),gorilla
wa63e05b,sloth,10,Animals (intimate),sloth
wa63e05b,kangaroo,-7,Animals (intimate),kangaroo
wa63e05b,monkey,1,Animals (intimate),monkey
wa63e05b,elephant,-2,Animals (intimate),elephant
wa63e05b,peacock,10,Animals (intimate),peacock
wa63e05b,lion,-10,Animals (intimate),lion
wa63e05b,algebra,-5,Subjects (school),algebra
wa63e05b,geometry,-5,Subjects (school),geometry
wa63e05b,history,-10,Subjects (school),history
wa63e05b,biology,-10,Subjects (school),biology
wa63e05b,physics,-10,Subjects (school),physics
wa63e05b,chemistry,-10,Subjects (school),chemistry
wa63e05b,english,-2,Subjects (school),english
wa63e05b,french,-10,Subjects (school),french
wa63e05b,spanish,-8,Subjects (school),spanish
wa63e05b,calculus,-5,Subjects (school),calculus
wa63e05b,boat,-8,Vehicles (commute),boat
